id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
107453,9315,2012,7,0,200,1,1,4,27,0,15,3,33,2,3,12,12,6,5,127,2,2,2,0,2,0,12,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.9392,33.3,0,14,0,0,0.0453,-0.6491
107601,9316,2012,13,0,200,1,1,211,817,0,213,171,865,138,38,89,83,232,196,3094,2,35,35,15,8,0,145,37,5,2,8,23,1,0,0,13,3,0,26,20,0,0,0,0,0,22,5,0,0.0,0.0,0.5167,817.0005,0,635,0,0,4.2465,4.9771
107690,9323,2012,2,0,200,1,1,43,171,0,49,37,193,16,16,26,24,51,38,766,2,8,8,2,3,0,34,11,2,3,0,4,0,0,0,1,1,0,2,4,0,0,0,0,0,6,0,0,0.0,0.0,-0.4724,211.3999,0,131,0,0,0.8011,0.32
108170,9346,2012,104,0,200,1,1,20,71,0,10,13,79,11,6,7,5,24,24,274,1,3,3,2,0,0,7,2,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0.0,0.0,0.4778,87.8,0,61,0,0,0.4196,0.6382
108172,9346,2012,93,0,200,1,1,30,123,0,36,21,132,17,8,22,22,25,41,481,2,6,6,1,3,0,26,6,1,0,1,3,0,0,0,3,0,0,3,2,0,0,0,0,0,3,2,0,0.0,0.0,-0.7794,143.5,0,92,0,0,0.4908,-0.2117
108340,9353,2012,2,0,200,1,1,102,371,0,82,95,427,0,46,38,36,101,100,1595,2,79,0,9,7,20,53,12,7,3,3,14,0,0,5,5,0,52,6,0,26,6,79,0,0,5,3,9,24.0,4.0,1.6961,613.8003,0,308,33,16,0.3727,2.4181
108611,9358,2012,15,0,200,1,1,7,42,0,20,12,48,0,5,13,11,7,3,170,2,12,0,0,2,0,13,5,0,1,0,2,0,0,0,0,0,2,1,0,1,1,12,0,0,2,0,1,8.0,7.0,-1.0381,36.0,0,23,0,4,-0.0436,-0.6781
109032,9381,2012,94,0,200,1,1,24,105,0,36,16,111,0,4,24,24,26,28,368,1,17,0,3,2,1,27,4,0,1,1,4,0,0,1,1,1,7,2,0,3,2,17,0,0,1,0,3,11.0,4.0,-1.0003,150.8,0,73,5,4,0.1,-0.8984
109415,9398,2012,5,0,200,1,1,69,268,0,72,43,287,0,14,25,21,74,81,1032,0,64,0,5,10,37,52,12,2,3,2,6,0,0,1,2,0,58,5,0,41,4,64,0,0,1,2,0,9.0,4.0,0.648,555.9,0,207,32,10,0.8958,1.7269
109518,9401,2012,12,0,200,1,1,182,699,0,189,136,771,89,50,80,74,183,204,2770,2,33,33,10,11,0,132,36,15,6,7,14,0,0,2,9,1,0,13,15,0,0,0,0,0,9,9,0,0.0,0.0,0.6756,735.5006,0,548,0,0,3.7444,3.7137
