id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
115315,15968,2021,37,0,202,3,1,9,39,0,12,4,43,0,4,9,9,11,12,146,0,6,0,0,1,0,7,5,0,0,0,0,0,0,0,1,0,2,0,0,1,1,6,0,0,0,0,0,6.0,2.0,-0.5717,58.1,0,27,1,2,0.1232,-0.5155
115409,15978,2021,38,0,202,3,1,15,60,0,19,2,72,16,9,11,11,17,23,235,1,3,3,1,1,0,16,2,1,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,5,1,0,0.0,0.0,-0.0166,78.2,0,46,0,0,-0.0815,-0.1323
115754,16197,2021,36,0,202,3,1,24,91,0,22,16,98,0,6,6,6,22,31,314,0,14,0,0,1,6,16,3,0,1,1,2,0,0,1,1,0,8,3,0,7,1,14,0,0,0,0,3,5.0,2.0,0.9223,181.5,0,72,6,2,0.4535,0.9749
115894,16210,2021,34,0,202,3,1,24,92,0,23,18,100,6,8,8,7,25,25,373,0,5,5,1,2,0,16,5,0,0,0,2,0,0,0,3,0,0,2,2,0,0,0,0,0,1,0,0,0.0,0.0,0.2636,102.2,0,72,0,0,0.4938,0.7225
115992,16225,2021,110,0,202,3,1,18,77,0,21,13,83,4,5,13,12,20,22,289,2,4,4,0,2,0,14,3,0,1,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,-0.4891,74.2,0,56,0,0,-0.0507,-0.256
116006,16230,2021,41,0,202,3,1,8,32,0,7,9,33,0,1,0,0,9,7,106,1,8,0,1,0,6,4,2,0,0,1,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,2.0,0.0,1.1812,91.6,0,25,7,0,0.6667,0.8808
116157,16246,2021,33,0,202,3,1,6,21,0,3,3,22,0,0,2,2,10,5,67,0,5,0,1,1,2,0,2,0,0,0,1,0,0,0,0,1,5,0,0,2,0,5,0,0,0,0,0,0.0,0.0,0.2803,47.1,0,18,2,1,-0.0371,0.1765
116193,16248,2021,45,0,202,3,1,12,44,0,9,6,50,0,6,6,6,16,12,173,1,11,0,1,2,7,5,2,0,0,0,2,0,0,0,0,0,8,2,0,8,1,11,0,0,0,1,0,4.0,0.0,0.1655,103.5,0,37,7,2,-0.2937,0.0509
116684,16393,2021,35,0,202,3,1,18,73,0,20,9,85,7,12,14,12,21,22,288,2,4,4,1,3,0,13,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0.0,0.0,-0.4783,82.8,0,56,0,0,0.1171,-0.2353
116692,16395,2021,100,0,202,3,1,18,64,0,13,16,79,12,14,9,7,14,22,306,1,4,4,0,1,0,10,1,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.1308,85.3,0,55,0,0,0.1788,0.1715
116854,16407,2021,48,0,202,3,1,31,123,0,38,30,134,13,8,15,14,31,24,453,2,5,5,2,2,0,27,6,0,1,3,2,0,0,0,1,2,0,8,3,0,0,0,1,0,1,1,0,0.0,0.0,0.1727,147.3,0,95,0,0,0.9658,0.4238
117405,16849,2021,40,0,202,3,1,11,42,0,11,3,47,0,5,6,6,15,13,143,0,13,0,0,2,9,8,2,0,0,0,1,0,0,0,0,0,11,2,0,11,2,13,0,0,0,0,0,3.0,1.0,-0.4024,109.1,0,33,8,2,-0.1344,-0.0462
