id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
99519,13914,2017,61,0,203,4,1,144,587,0,162,79,643,53,45,77,71,160,182,2212,2,25,25,7,12,0,127,23,4,2,6,6,0,2,1,4,3,0,7,14,0,0,0,0,0,11,4,0,0.0,0.0,-0.4911,639.6,0,434,0,0,2.8734,0.0619
99581,13919,2017,58,0,203,4,1,43,168,0,40,30,194,0,23,20,20,41,57,698,1,35,0,1,5,3,25,7,1,1,1,7,0,0,0,3,1,18,2,0,6,3,35,0,0,1,0,7,29.0,14.0,-0.3919,342.8999,0,130,13,9,-0.9762,-0.0002
99612,13920,2017,52,0,203,4,1,181,658,0,136,131,728,101,55,52,50,215,178,2515,1,26,26,14,4,0,94,28,3,7,3,11,0,0,2,4,5,0,15,21,0,0,0,3,2,9,1,0,0.0,0.0,3.4438,798.0006,0,544,0,0,4.0087,5.7829
99744,13928,2017,64,0,203,4,1,24,88,0,19,14,97,0,8,11,11,23,32,362,0,13,0,1,0,0,10,5,0,1,1,3,0,0,0,0,0,10,0,0,0,0,13,0,0,1,1,0,14.0,2.0,-0.0307,46.4,0,72,1,2,-0.065,0.032
99813,13930,2017,50,0,203,4,1,33,121,0,34,16,141,0,15,13,13,45,31,457,0,20,0,2,2,1,22,4,4,1,2,6,0,0,4,0,0,12,5,0,2,1,20,0,0,2,1,2,21.0,8.0,0.1025,141.1001,0,99,7,3,-0.5382,0.2664
99833,13931,2017,64,0,203,4,1,40,156,0,40,27,177,0,19,18,16,42,46,569,0,32,0,3,6,3,33,5,0,1,0,2,0,0,5,2,1,20,3,0,3,0,32,0,0,2,0,7,25.0,5.0,0.9118,386.3,0,120,16,8,0.7271,0.1438
101466,14040,2017,62,0,203,4,1,12,49,0,17,4,65,0,13,10,10,16,14,210,0,8,0,0,0,0,13,2,0,2,0,2,0,0,0,1,1,4,1,0,0,0,8,0,0,1,0,0,9.0,2.0,-0.1215,72.7,0,36,1,2,-0.6134,-0.4809
101818,14071,2017,54,0,203,4,1,36,142,0,39,26,167,2,22,19,18,29,49,601,0,26,1,1,2,8,27,7,0,2,0,5,0,0,1,2,1,20,4,0,8,0,25,0,0,3,0,0,17.0,3.0,0.9019,194.5001,0,108,9,3,-0.5469,-0.2654
102654,14144,2017,50,0,203,4,1,77,305,0,86,43,344,29,33,51,48,90,88,1182,1,13,13,1,8,0,57,13,2,2,2,14,0,0,1,2,2,0,9,5,0,0,0,0,0,5,1,0,0.0,0.0,-1.3565,334.8998,0,232,0,0,-0.5426,-0.7082
103329,14189,2017,101,0,203,4,1,2,7,0,2,0,9,0,1,2,0,3,2,42,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1.0,0.0,-0.0701,4.8,0,6,0,1,-0.0027,-0.097
103462,14207,2017,111,0,203,4,1,12,44,0,11,4,52,0,6,4,4,20,11,170,0,9,0,1,1,3,9,0,1,1,0,2,0,0,0,2,0,5,1,0,5,2,9,0,0,0,0,0,4.0,1.0,0.0907,126.0,0,36,4,3,-0.5139,0.2935
104223,14320,2017,58,0,203,4,1,14,46,0,9,10,63,0,15,3,3,12,17,219,1,8,0,1,0,1,7,1,0,2,0,1,0,0,0,0,0,5,1,0,2,1,8,0,0,0,1,0,12.0,3.0,0.3679,99.3,0,43,3,1,-0.3642,0.5453
104952,14396,2017,52,0,203,4,1,60,216,0,42,35,251,0,30,20,19,71,69,842,0,59,0,5,4,34,30,7,2,2,1,4,0,0,4,6,1,48,5,0,38,4,59,0,0,1,0,1,24.0,3.0,1.6268,527.4999,0,180,32,9,0.1534,1.4124
108510,14736,2017,59,0,203,4,1,33,126,0,31,13,147,13,18,12,10,42,39,507,1,5,5,2,2,0,24,6,2,1,1,0,0,0,0,1,0,0,3,4,0,0,0,0,0,7,1,0,0.0,0.0,-0.1032,162.9,0,100,0,0,0.5198,0.7609
