id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
929,6170,2009,23,0,201,2,1,6,20,0,2,4,23,0,3,0,0,6,8,100,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,3.0,0.0,0.2019,11.7,0,20,2,0,0.103,0.388
1475,6185,2009,21,0,201,2,1,59,229,0,58,42,272,0,38,31,29,82,47,1055,2,50,0,4,10,21,37,10,1,2,4,7,0,0,4,6,2,34,3,0,28,7,50,0,0,1,2,0,6.0,0.0,-1.1505,658.6001,0,179,25,15,-0.7486,-0.1346
1950,6194,2009,18,0,201,2,1,21,83,0,18,13,92,0,8,11,11,27,23,370,1,20,0,0,1,11,10,6,0,0,1,1,1,0,0,2,1,16,1,0,14,3,20,0,0,0,0,2,10.0,3.0,-0.739,172.5,0,64,7,4,0.2458,-0.0407
3029,6232,2009,24,0,201,2,1,35,151,0,52,17,191,0,37,48,48,45,35,744,2,31,0,0,4,0,30,14,0,0,0,8,1,0,2,1,3,9,7,0,1,1,31,0,0,1,3,2,21.0,6.0,-1.4332,152.8,0,107,4,5,-1.7004,-2.9739
3920,6258,2009,24,0,201,2,1,26,97,0,23,17,112,0,12,13,12,26,32,433,1,18,0,2,1,0,14,4,1,2,3,2,0,0,0,1,0,5,2,0,1,1,18,0,0,1,2,2,9.0,3.0,-0.3354,88.6,0,79,4,3,0.0725,0.0208
5177,6294,2009,23,0,201,2,1,33,119,0,22,23,131,31,8,12,12,38,35,495,0,6,6,4,1,0,14,2,1,0,1,5,0,0,0,0,3,0,3,3,0,0,0,0,0,1,0,0,0.0,0.0,0.4227,114.5,0,99,0,0,0.2416,0.8485
5621,6306,2009,23,0,201,2,1,16,59,0,14,16,72,0,8,7,7,16,16,254,2,10,0,0,0,0,9,4,2,2,0,1,0,0,0,1,1,5,2,0,0,0,10,0,0,1,0,0,7.0,2.0,0.005,47.2,0,50,2,2,0.1852,0.1531
6641,6319,2009,20,0,201,2,1,5,17,0,3,1,17,0,0,0,0,9,4,50,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,2.0,1.0,0.2002,14.3,0,15,1,0,0.1113,0.2942
7082,6333,2009,99,0,201,2,1,2,7,0,3,1,10,2,3,2,2,2,1,39,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,-0.1382,12.9,0,6,0,0,-0.0333,-0.0679
7304,6334,2009,24,0,201,2,1,40,135,0,22,30,164,0,26,11,9,43,39,622,0,18,0,2,2,0,15,4,1,0,1,2,0,0,1,1,2,5,7,0,0,0,18,0,0,2,0,0,18.0,1.0,-0.0285,138.2,0,120,6,3,0.0528,0.9973
8059,6350,2009,32,0,201,2,1,153,578,0,154,91,647,57,57,71,68,160,178,2338,1,32,24,8,9,0,121,17,2,6,5,11,0,0,2,10,4,3,21,12,0,0,8,0,0,19,5,3,6.0,1.0,0.6285,733.3001,0,460,3,2,1.9956,2.4579
8180,6357,2009,25,0,201,2,1,44,180,0,47,39,198,0,17,21,20,46,47,687,2,42,0,4,3,20,37,5,0,1,2,3,0,0,4,2,0,35,1,0,25,5,42,0,0,1,0,0,7.0,2.0,-0.1251,382.4,0,134,17,9,0.9883,0.3604
8517,6370,2009,26,0,201,2,1,11,36,0,4,8,41,0,4,1,1,11,13,155,0,11,0,1,0,1,2,2,0,0,0,0,1,0,0,0,1,5,1,0,1,0,11,0,0,0,0,2,11.0,0.0,1.2068,74.9,0,33,6,0,0.2416,0.716
8729,6371,2009,95,0,201,2,1,82,315,0,85,66,362,0,41,50,42,91,72,1325,2,58,0,7,8,8,64,13,1,3,2,6,0,0,2,4,2,31,15,0,9,1,58,0,0,1,1,5,25.0,8.0,0.3228,554.2997,0,248,20,11,0.6148,-0.6001
