id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
15109,6543,2004,67,0,204,6,1,6,31,0,12,8,34,0,3,7,6,7,4,136,2,4,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0848,19.7,0,20,1,0,-0.1666,-0.3616
15131,6544,2004,72,0,204,6,1,11,34,0,3,18,39,0,3,1,1,10,4,144,1,5,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,2,0,1,1,5,0,0,0,0,1,3.0,2.0,0.5599,49.4,0,34,3,1,0.3316,0.6053
15156,6547,2004,75,0,204,6,1,74,258,0,45,64,289,0,27,16,15,69,80,1154,0,44,0,5,3,1,26,13,2,0,1,5,0,0,1,2,2,9,4,0,3,2,44,0,0,3,2,6,35.0,10.0,0.82,275.2,0,222,13,6,0.8635,2.2916
15202,6548,2004,69,0,204,6,1,87,308,0,58,113,332,49,16,18,16,72,63,1242,0,15,15,7,4,0,45,10,3,1,1,2,0,0,0,2,4,0,5,8,0,0,0,0,0,8,7,0,0.0,0.0,2.0681,295.9001,0,261,0,0,4.2225,3.9676
15484,6554,2004,69,0,204,6,1,161,599,0,125,172,673,82,58,63,52,136,163,2489,2,28,28,14,8,0,91,21,6,6,6,7,1,0,0,2,4,0,6,12,0,0,0,2,2,6,9,0,0.0,0.0,1.867,643.9,0,485,0,0,4.7204,3.6604
15804,6561,2004,68,0,204,6,1,24,82,0,14,34,96,0,11,8,7,19,16,365,0,36,0,2,3,0,6,6,1,0,1,1,0,0,1,2,2,3,2,0,0,0,36,0,0,1,1,5,25.0,4.0,0.2266,106.4,0,72,7,6,0.5674,0.4457
15855,6563,2004,72,0,204,6,1,44,159,0,28,56,169,0,9,7,6,39,34,605,0,23,0,2,1,0,20,4,0,0,2,2,0,0,4,0,1,10,3,0,0,0,23,0,0,0,1,5,26.0,7.0,1.0686,128.6,0,132,9,1,1.4941,1.6792
16661,6579,2004,77,0,204,6,1,71,280,0,72,73,320,0,30,37,30,54,77,1264,2,36,0,3,2,1,43,15,2,2,3,11,0,0,0,3,6,6,5,0,2,0,36,0,0,2,3,0,27.0,10.0,-0.3821,230.4,0,215,5,5,-0.5779,-0.6484
16719,6580,2004,76,0,204,6,1,46,183,0,47,56,219,0,25,19,16,40,40,865,0,30,0,2,1,3,36,8,3,1,0,3,1,0,0,3,7,10,1,0,6,3,30,0,0,2,0,9,22.0,7.0,0.3059,303.5,0,138,10,7,0.4336,0.449
16892,6587,2004,75,0,204,6,1,79,283,0,57,101,314,0,22,23,18,67,61,1198,1,44,0,8,2,2,38,8,5,1,2,9,0,0,0,0,3,11,6,0,5,2,44,0,0,3,1,8,27.0,5.0,1.8749,366.4,0,238,21,5,1.4849,1.946
17080,6591,2004,80,0,204,6,1,49,172,0,29,55,196,3,20,16,14,41,46,765,1,18,2,4,1,0,19,5,1,0,0,5,1,0,2,3,3,5,0,2,0,0,16,0,0,3,4,1,19.0,1.0,0.6706,156.5,0,148,5,1,0.6434,1.0608
17166,6594,2004,73,0,204,6,1,8,36,0,15,10,41,6,4,11,11,4,7,151,0,2,2,0,0,0,9,2,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,-0.6715,43.0,0,24,0,0,-0.2227,-0.5137
17248,6596,2004,66,0,204,6,1,30,113,0,22,37,136,0,20,17,13,26,26,517,1,14,1,1,1,0,13,5,1,0,0,4,0,0,0,1,2,5,0,1,0,0,13,0,0,1,2,0,11.0,2.0,-0.2438,110.5,0,91,2,4,-0.1591,-0.1281
17415,6599,2004,66,0,204,6,1,75,275,0,60,90,332,0,44,33,28,61,67,1311,1,54,0,1,5,2,43,11,6,3,1,5,1,0,5,6,4,19,4,0,4,2,54,0,0,4,1,10,53.0,15.0,1.2318,511.2001,0,226,22,10,0.9175,0.6504
17493,6601,2004,80,0,204,6,1,41,149,0,23,58,173,5,20,15,10,32,33,659,2,21,1,2,1,0,15,2,2,0,0,6,1,0,4,2,2,9,1,0,0,0,20,0,0,0,1,1,15.0,0.0,1.0406,162.8,0,125,8,2,0.4714,0.6599
17533,6604,2004,67,0,204,6,1,12,46,0,12,14,55,0,3,9,9,12,8,178,1,5,0,0,0,0,7,2,1,0,1,2,0,0,0,1,5,2,3,0,0,0,5,0,0,0,0,0,4.0,0.0,-0.0721,31.1,0,37,0,1,-0.1403,-0.2849
18089,6617,2004,74,0,204,6,1,79,290,0,60,59,353,2,50,38,32,80,91,1360,2,35,1,2,4,1,35,14,2,1,1,10,0,1,2,1,9,7,6,0,2,0,34,0,0,3,2,0,35.0,7.0,-0.1379,270.9001,0,239,4,5,-1.1801,0.1517
18504,6631,2004,77,0,204,6,1,9,37,0,9,13,44,0,3,4,3,9,6,153,2,5,0,0,3,1,7,1,1,0,0,1,0,0,2,0,3,4,1,0,1,0,5,0,0,2,0,0,2.0,0.0,-0.1814,89.3,0,29,1,4,0.2083,0.0456
18833,6635,2004,65,0,204,6,1,64,237,0,54,71,269,0,26,19,16,57,56,999,0,60,0,3,6,28,36,13,2,1,3,2,0,0,5,2,3,45,4,0,30,2,60,0,0,7,1,7,22.0,1.0,2.1527,544.4999,0,192,26,10,2.011,2.0603
19177,6640,2004,72,0,204,6,1,64,223,0,36,80,254,0,26,5,4,58,47,946,1,49,0,4,0,4,24,10,1,1,1,1,0,0,4,3,3,14,5,0,5,1,49,0,0,0,0,12,32.0,4.0,2.9293,290.0001,0,193,22,3,1.8972,3.2391
20835,6677,2004,65,0,204,6,1,9,32,0,4,13,34,4,2,1,1,1,13,136,0,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2477,33.5,0,27,0,0,0.5138,0.5128
22153,6702,2004,74,0,204,6,1,21,70,0,13,13,80,4,8,3,2,23,22,286,0,3,3,1,1,0,9,3,1,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,2,0,0.0,0.0,0.8,88.7,0,63,0,0,0.5642,1.1567
22478,6706,2004,77,0,204,6,1,162,595,0,120,171,647,69,35,56,52,109,192,2405,2,29,25,8,7,2,79,23,1,4,1,17,0,0,0,1,12,4,10,16,2,0,4,0,0,1,2,0,5.0,1.0,1.5294,598.4,0,488,2,0,3.3498,3.4705
22693,6712,2004,69,0,204,6,1,63,230,0,53,71,265,0,24,20,20,47,64,945,1,35,0,3,1,1,34,13,9,0,0,6,0,0,1,2,2,9,4,0,2,1,35,0,0,2,2,12,25.0,5.0,1.8739,242.9002,0,190,17,4,0.6668,1.298
22721,6715,2004,71,0,204,6,1,26,98,0,22,28,118,0,11,13,10,23,28,433,2,20,0,1,4,1,12,6,2,2,0,4,0,0,3,2,5,8,1,0,2,1,20,0,0,2,0,6,15.0,3.0,-0.9612,167.8,0,80,6,5,-0.1587,0.0428
22798,6718,2004,68,0,204,6,1,26,107,0,26,26,125,9,17,16,14,24,28,479,2,6,6,0,4,0,21,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0.0,0.0,-0.212,126.9,0,80,0,0,0.3722,-0.0165
23298,6731,2004,68,0,204,6,1,95,350,0,76,93,393,24,33,37,31,73,108,1532,1,41,8,9,6,0,47,19,2,2,5,5,0,0,3,3,6,14,8,4,2,2,33,0,0,1,3,7,26.0,7.0,1.043,481.5,0,286,10,7,1.7856,1.595
23720,6733,2004,72,0,204,6,1,130,470,0,94,151,525,47,43,37,35,117,104,1937,2,24,24,10,6,0,67,16,4,4,4,7,0,0,6,0,4,0,11,8,0,0,0,0,0,4,5,0,0.0,0.0,2.3809,536.3997,0,392,0,0,4.2338,4.571
24030,6736,2004,74,0,204,6,1,138,528,0,129,143,587,51,52,60,57,123,132,2187,2,26,26,6,9,0,90,22,0,4,6,11,0,0,0,5,3,0,9,10,0,0,0,0,0,13,7,0,0.0,0.0,0.4691,577.5002,0,416,0,0,3.1746,2.2116
24507,6755,2004,66,0,204,6,1,14,50,0,8,19,57,0,7,2,2,8,15,235,2,5,0,1,0,0,6,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,5,0,0,1,1,0,3.0,1.0,0.1282,39.8,0,44,1,1,0.2775,0.6162
25148,6764,2004,79,0,204,6,1,9,37,0,10,12,40,0,2,6,2,7,7,148,1,7,0,1,2,0,6,2,1,0,0,2,0,0,0,0,0,1,0,0,1,1,7,0,0,0,0,1,6.0,0.0,-0.0112,83.2,1,28,3,3,0.0448,-0.2329
25410,6767,2004,75,0,204,6,1,121,483,0,125,148,554,79,60,70,58,102,103,2190,1,28,28,3,6,0,78,30,1,6,6,11,0,0,0,6,4,0,3,0,0,0,0,0,0,11,7,0,0.0,0.0,-1.3941,556.0001,0,364,0,0,2.5823,0.2277
