id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
5555,2809,2003,6,0,200,1,1,0,80,18,16,87,328,28,21,4,2,1,7,8,0,0,5,0,0,0,0,2,0,-0.9394,0,-0.1902,-0.1058
5684,2840,2003,5,0,200,1,1,0,555,161,106,658,2539,156,154,35,0,36,90,113,1,2,88,7,15,0,4,11,0,3.3116,0,-1.4598,5.6647
5979,2886,2003,8,0,200,1,1,0,4,1,0,4,11,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0003,0,0.0061,0.0024
6115,2904,2003,5,0,200,1,1,0,186,44,43,224,957,67,49,6,0,8,34,29,2,3,36,1,3,0,0,2,0,1.2146,0,3.188,1.6209
6195,2918,2003,1,0,200,1,1,0,309,63,57,348,1350,100,86,16,2,5,27,39,0,0,33,1,11,2,2,2,0,0.0606,0,-2.6102,-0.0925
6317,2937,2003,13,0,200,1,1,0,195,39,37,214,803,94,66,6,0,1,17,18,2,2,15,0,8,1,3,0,0,-1.6138,0,1.6223,0.3478
6494,2952,2003,11,0,200,1,1,0,270,64,45,305,1151,111,70,5,6,6,39,25,1,5,33,0,5,0,1,1,0,-0.2058,0,-0.4723,0.3604
6723,3015,2003,4,0,200,1,1,0,64,16,11,74,256,33,13,4,0,1,8,10,0,1,7,2,0,2,1,0,0,-0.1562,0,0.4341,-0.2111
6725,3015,2003,10,0,200,1,1,0,165,43,23,186,677,52,38,11,4,2,29,13,3,2,15,2,3,2,1,3,0,-1.2965,1,-1.3829,-0.1521
7024,3037,2003,6,0,200,1,1,0,191,41,42,230,921,56,56,7,0,3,20,21,0,1,30,0,6,2,4,3,0,-1.3982,0,-0.1164,-0.3438
7028,3037,2003,10,0,200,1,1,0,19,4,5,23,93,6,6,0,0,0,0,1,0,0,3,0,1,1,0,0,0,-0.1703,1,0.0,-0.1399
7030,3037,2003,16,0,200,1,1,0,120,27,20,135,535,40,28,3,0,6,15,19,0,0,12,1,3,0,3,0,0,-0.5924,2,-0.2994,-0.1118
7054,3039,2003,10,0,200,1,1,0,179,39,49,201,812,53,46,9,0,2,15,15,0,0,20,0,7,0,1,1,0,-0.8974,0,-2.0614,-0.331
7085,3047,2003,1,0,200,1,1,0,631,183,140,688,2579,161,161,30,2,20,84,80,6,4,46,0,14,3,3,5,0,0.43,0,-4.1599,3.0143
7370,3070,2003,4,0,200,1,1,0,37,15,4,41,127,19,5,2,0,1,6,7,0,0,2,0,0,0,1,1,0,1.1903,0,-0.8325,0.2942
7525,3094,2003,6,0,200,1,1,0,264,66,62,292,1082,84,70,16,2,1,30,15,0,0,22,0,3,4,1,1,0,-2.2707,0,-1.4244,-0.3538
7733,3117,2003,7,0,200,1,1,0,331,84,71,352,1192,93,82,22,1,8,37,48,4,0,18,0,11,0,1,2,0,-0.639,0,-1.3233,0.1177
7783,3122,2003,11,0,200,1,1,0,533,147,71,596,2157,140,135,26,4,30,78,80,6,10,50,1,8,0,6,7,0,0.2674,0,1.7651,4.7768
8000,3135,2003,10,0,200,1,1,0,184,36,44,204,829,61,50,8,0,3,17,16,0,0,20,0,8,0,0,0,0,-0.8159,0,-1.0837,-0.4335
8042,3136,2003,8,0,200,1,1,0,57,8,13,65,241,20,14,1,0,0,1,4,0,0,6,0,2,1,1,0,0,-0.4866,0,-0.4041,-0.3433
8173,3141,2003,4,0,200,1,1,0,308,93,30,331,995,84,76,15,3,2,39,33,13,5,13,1,2,6,2,2,0,1.0706,0,3.316,0.0954
