#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Hunters,112,50,42.70,23.04,65.74,46.26
2,Mermen,106,56,43.37,16.68,60.05,45.95
3,Blue Wave,95,67,33.95,22.22,56.17,38.83
4,Outlaws,98,64,33.09,18.90,51.99,46.01
5,Shellbacks,90,72,31.89,15.21,47.10,42.90
6,Sugar Kings,97,65,28.92,15.06,43.98,53.02
7,Honu,106,56,18.63,23.05,41.68,64.32
8,Huskies,86,76,28.69,11.86,40.55,45.45
9,Tigers,83,79,17.77,19.85,37.62,45.38
10,Sun Chasers,72,90,11.56,19.12,30.68,41.32
11,Surfers,76,86,11.67,17.66,29.33,46.67
12,Blucifers,76,86,10.99,17.56,28.54,47.46
13,Centurions,80,82,9.43,17.05,26.49,53.51
14,Bite,70,92,8.54,17.37,25.91,44.09
15,Homewreckers,73,89,13.73,12.04,25.77,47.23
16,Dragons,76,86,11.40,13.70,25.09,50.91
17,Spiders,57,105,16.29,3.43,19.72,37.28
18,Bedouins,66,96,14.45,4.72,19.18,46.82
19,Boazu,62,100,10.67,6.71,17.37,44.63
20,Red Coats,39,123,6.58,-9.09,-2.51,41.51
