#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Blue Wave,92,70,25.70,24.09,49.80,42.20
2,Mermen,93,69,26.46,22.85,49.31,43.69
3,Huskies,95,67,28.71,19.85,48.56,46.44
4,Blucifers,90,72,17.73,22.32,40.04,49.96
5,Dragons,85,78,22.49,17.55,40.04,44.96
6,Tigers,103,59,15.64,23.27,38.91,64.09
7,Outlaws,84,79,24.28,14.04,38.32,45.68
8,Hunters,85,77,23.40,14.53,37.93,47.07
9,Sugar Kings,74,88,27.90,7.50,35.41,38.59
10,Sun Chasers,78,84,14.57,19.14,33.71,44.29
11,Honu,71,91,12.18,15.05,27.23,43.77
12,Bite,77,85,11.19,15.45,26.64,50.36
13,Homewreckers,79,83,13.02,12.44,25.46,53.54
14,Shellbacks,71,91,11.75,9.51,21.26,49.74
15,Spiders,68,94,15.84,5.00,20.84,47.16
16,Surfers,52,110,0.94,9.31,10.26,41.74
