#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Hunters,109,53,41.70,23.33,65.03,43.97
2,Huskies,105,57,38.68,17.46,56.14,48.86
3,Honu,99,63,30.93,19.91,50.83,48.17
4,Bedouins,91,71,30.38,15.78,46.15,44.85
5,Outlaws,84,79,25.48,18.04,43.52,40.48
6,Mermen,83,80,26.10,16.70,42.80,40.20
7,Blue Wave,98,64,21.56,18.70,40.26,57.74
8,Centurions,83,80,20.99,17.84,38.83,44.17
9,Blucifers,85,77,16.48,22.05,38.53,46.47
10,Surfers,84,79,21.94,15.47,37.40,46.60
11,Shellbacks,76,86,20.38,12.55,32.94,43.06
12,Spiders,70,92,18.58,11.97,30.55,39.45
13,Boazu,75,87,12.69,15.76,28.45,46.55
14,Homewreckers,82,80,7.39,20.94,28.33,53.67
15,Sugar Kings,63,99,15.28,9.78,25.07,37.93
16,Sun Chasers,76,86,11.79,9.40,21.19,54.81
17,Bite,72,90,4.55,13.98,18.53,53.47
18,Red Coats,69,93,15.04,1.66,16.70,52.30
19,Tigers,62,100,4.53,5.10,9.63,52.37
20,Dragons,56,106,1.68,4.94,6.62,49.38
