ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
15767,Nelis Steunebrink,88.1,4,35,54,0.4,3.6,5.5
13929,Rafael Garcia,88.0,4,21,73,0.4,2.1,7.5
14301,Antony Manton,87.2,2,46,63,0.2,4.7,6.5
15592,James Phipps,87.2,4,18,56,0.4,1.8,5.7
14694,Munsif bin Nasir al Din,87.1,6,37,43,0.6,3.8,4.4
15490,Hwi-jeung Kim,86.1,7,32,51,0.7,3.3,5.3
13974,Wes Piper,85.2,7,24,71,0.7,2.5,7.5
15031,Jan Holmberg,85.1,6,31,58,0.6,3.3,6.1
13711,Cruz Gamez,84.1,5,13,55,0.5,1.4,5.9
15900,Harry de Bruijn,83.2,8,43,59,0.9,4.6,6.3
13770,Milojica Ostrozinska,83.2,2,36,55,0.2,3.9,5.9
15798,Gadiel bin Jaleel,83.1,12,41,41,1.3,4.4,4.4
13904,Mick Adams,82.2,6,21,50,0.7,2.3,5.4
15631,Flavio Sanguinetti,82.0,3,22,56,0.3,2.4,6.1
13756,Santiago Herrera,81.2,11,57,40,1.2,6.3,4.4
15582,Willie Garcia,81.0,13,20,52,1.4,2.2,5.8
16637,Hyung-woo Kim,80.2,11,24,43,1.2,2.7,4.8
14402,Bob Blythe,80.0,8,44,59,0.9,5.0,6.6
13870,Ismael Molina,80.0,5,30,41,0.6,3.4,4.6
14395,Pippo Borromeo,79.1,4,39,49,0.5,4.4,5.6
14441,Livio Ciaravella,79.1,4,23,53,0.5,2.6,6.0
15336,King Louis,78.1,11,28,32,1.3,3.2,3.7
13875,Mike Pierson,78.1,4,21,53,0.5,2.4,6.1
14597,Bernie Hernandez,77.2,10,30,58,1.2,3.5,6.7
15611,Wouter Goor,77.0,3,25,46,0.4,2.9,5.4
15330,Suljo Danicic,76.2,3,13,40,0.4,1.5,4.7
15610,Jake Moncrief,76.2,3,25,60,0.4,2.9,7.0
14289,Jae-keol Kim,76.1,4,27,51,0.5,3.2,6.0
15198,Fernando Hernandez,75.2,3,7,52,0.4,0.8,6.2
14216,Lucan Ferraris,74.2,6,25,46,0.7,3.0,5.5
14944,Djoka Pesa,74.2,4,19,39,0.5,2.3,4.7
14109,Joon-ho Kim,74.1,7,33,48,0.8,4.0,5.8
14022,Borenko Grol,74.0,3,28,60,0.4,3.4,7.3
14577,Bill Barbara,73.0,6,25,47,0.7,3.1,5.8
15261,Steven Beach,72.2,10,35,34,1.2,4.3,4.2
15547,Onne de Wit,72.2,12,27,20,1.5,3.3,2.5
16646,Steve Gallizio,72.2,7,25,42,0.9,3.1,5.2
12453,ASIM BABIC,72.0,7,27,50,0.9,3.4,6.2
14491,Bill Brewster,72.0,6,16,52,0.8,2.0,6.5
15175,Tim Howling,71.2,10,30,38,1.3,3.8,4.8
14966,Victor Arenos,71.1,5,29,53,0.6,3.7,6.7
15813,Ryan Richard,71.1,2,23,58,0.3,2.9,7.3
14358,Cherles Lobo,70.1,7,39,58,0.9,5.0,7.4
15172,Silvio Ghezzi,68.1,5,35,43,0.7,4.6,5.7
14167,Juan Carmona,67.1,7,28,40,0.9,3.7,5.3
14884,Joey de Vos,67.1,4,31,53,0.5,4.1,7.1
16817,Murat Vasiljevic,67.0,8,26,45,1.1,3.5,6.0
