ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
11993,Moises Ortiz,30.0,1,10,20,0.3,3.0,6.0
13883,Joe Perrine,30.0,4,10,17,1.2,3.0,5.1
13541,Brendan Ayres,29.2,2,7,18,0.6,2.1,5.5
11317,Henry Boon,29.2,1,8,15,0.3,2.4,4.6
14082,Len Carrier,29.2,2,13,18,0.6,3.9,5.5
11711,CHRIS LING,29.2,1,3,16,0.3,0.9,4.9
10619,DUSTIN MCDONNELL,29.2,4,18,22,1.2,5.5,6.7
11756,ZAKI BIN BUTRUS,29.0,2,8,20,0.6,2.5,6.2
13746,Ab van Soest,29.0,3,20,22,0.9,6.2,6.8
11645,YASUMITSU MACHIDA,28.1,1,11,31,0.3,3.5,9.8
14248,Geomar Tiscorinia,28.0,0,14,18,0.0,4.5,5.8
12326,JOEY GARDNER,27.2,3,9,14,1.0,2.9,4.6
10953,JOHN GONZALEZ,27.2,4,14,13,1.3,4.6,4.2
11798,JOHN BEDLECOM,27.1,2,13,24,0.7,4.3,7.9
12589,Emmanuel Cavalleri,27.1,5,9,16,1.6,3.0,5.3
13793,TIMMY FEENSTRA,27.1,0,8,21,0.0,2.6,6.9
12006,Lílian Cassadora,26.2,2,13,17,0.7,4.4,5.7
12010,Pino Funicello,26.1,3,14,17,1.0,4.8,5.8
12054,Umayr bin Houd,26.0,5,14,15,1.7,4.8,5.2
11768,PABLO CASTANEDA,26.0,5,19,18,1.7,6.6,6.2
10669,Sung-ho Lee,26.0,2,10,20,0.7,3.5,6.9
13865,Omarion Bedford,25.2,1,13,13,0.4,4.6,4.6
11609,MYUNG-WOO KIM,25.2,6,13,21,2.1,4.6,7.4
13081,Bruno Sells,25.0,3,13,15,1.1,4.7,5.4
11025,JUSTIN BILLETT,24.2,6,6,18,2.2,2.2,6.6
11505,DAVE CAVAZOS,24.2,5,7,21,1.8,2.6,7.7
10392,Chris McChesney,24.2,2,17,12,0.7,6.2,4.4
12249,GEORGE NORMAN,24.2,3,11,16,1.1,4.0,5.8
12603,Jesus Villegas,24.2,1,11,16,0.4,4.0,5.8
12235,Luigi Collard,24.0,1,9,17,0.4,3.4,6.4
