ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
12401,HARM WIEBENGA,199.0,14,65,100,0.6,2.9,4.5
9086,ALEX PARKER,195.2,17,24,108,0.8,1.1,5.0
13931,Samuel Price,193.0,14,71,101,0.7,3.3,4.7
12419,GIAN-ANDREA CARANDINI,187.2,22,79,119,1.1,3.8,5.7
13214,SHIGEM FUJITA,187.2,11,54,103,0.5,2.6,4.9
11684,KYLE WHITTLE,187.2,13,49,73,0.6,2.3,3.5
13342,Tom Bach,184.2,10,75,99,0.5,3.7,4.8
13574,Masato Oba,181.1,19,74,108,0.9,3.7,5.4
11885,Daniel Fallon,180.0,24,54,114,1.2,2.7,5.7
12991,MATT HALLBAUER,178.1,10,49,118,0.5,2.5,6.0
9197,BRENT CITO,175.1,12,64,106,0.6,3.3,5.4
11718,ACA KUKCENJAC,173.2,16,50,113,0.8,2.6,5.9
12223,Adriano Sells,173.1,8,56,90,0.4,2.9,4.7
12222,Carlos Lizarraga,172.2,10,56,117,0.5,2.9,6.1
7221,TOMÁS CORDERO,172.0,8,57,107,0.4,3.0,5.6
13572,Suljo Djokovic,172.0,17,71,78,0.9,3.7,4.1
14997,Rafael Esparza,172.0,28,61,95,1.5,3.2,5.0
13187,BOB MCKOWN,170.0,12,55,95,0.6,2.9,5.0
8814,Jude Bright,168.1,6,65,109,0.3,3.5,5.8
8332,FRED BRAY,165.0,23,50,95,1.3,2.7,5.2
13723,Claudio Boelhouwers,164.2,19,56,103,1.0,3.1,5.6
12943,Danny Aguilar,162.2,8,52,81,0.4,2.9,4.5
11610,SRETEN KUKCENJAC,162.1,18,42,111,1.0,2.3,6.2
12713,Renaud Leopardi,159.2,19,54,103,1.1,3.0,5.8
10422,Nicholas Printz,159.2,12,72,105,0.7,4.1,5.9
13466,Herman Moesker,157.0,23,74,93,1.3,4.2,5.3
10933,Jeff Kelley,156.1,7,83,97,0.4,4.8,5.6
13788,RIEMER KOPPELAAR,156.1,7,36,69,0.4,2.1,4.0
11031,ALEX ZARAGOZA,156.0,9,45,93,0.5,2.6,5.4
10599,NICK KENNEY,155.2,31,92,68,1.8,5.3,3.9
11881,Rade Telacevic,155.2,13,67,84,0.8,3.9,4.9
11988,Glenn Claessens,155.1,9,51,92,0.5,3.0,5.3
13299,Dae-hyung Oh,153.2,10,67,88,0.6,3.9,5.2
10399,Warren Nunes,151.1,17,48,103,1.0,2.9,6.1
