ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
12340,ABU BAKR BIN NAJI,20.1,1,9,12,0.4,4.0,5.3
11885,Daniel Fallon,19.2,1,6,9,0.5,2.7,4.1
12355,JOHN FITZSIMMONS,19.0,5,7,11,2.4,3.3,5.2
9575,EDWARD GRIEB,19.0,1,4,10,0.5,1.9,4.7
13202,Danny Melendez,19.0,2,9,10,0.9,4.3,4.7
11935,Jorge Ramirez,18.2,1,5,17,0.5,2.4,8.2
12505,Aniq Abdul-Rashid,18.1,1,7,16,0.5,3.4,7.9
12248,B.J. MONTALBETTI,18.0,3,8,7,1.5,4.0,3.5
11003,COREY STEGALL,17.2,1,7,15,0.5,3.6,7.6
9206,BEN SMITH,17.1,4,6,6,2.1,3.1,3.1
10950,JIM YOUNG,17.0,2,5,11,1.1,2.6,5.8
11450,ALVIN ALEXANDER,16.2,0,3,15,0.0,1.6,8.1
13817,Billy Bogle,16.2,0,5,13,0.0,2.7,7.0
12303,MIGUEL CARREON,16.2,0,10,14,0.0,5.4,7.6
9744,ARTURO MENDEZ,16.2,1,5,17,0.5,2.7,9.2
10423,Pete Dean,16.0,0,10,4,0.0,5.6,2.2
10602,STEVE ACCURSO,15.2,2,4,8,1.1,2.3,4.6
11704,LORENZ DOEDENS,15.2,0,4,21,0.0,2.3,12.1
13064,Aydan Cote,14.2,2,6,3,1.2,3.7,1.8
10600,BOBBY SETTLEMIRE,14.1,1,6,16,0.6,3.8,10.0
13004,BILL SPOTTSWOOD,14.1,1,1,7,0.6,0.6,4.4
10140,RYAN STACEY,14.1,1,2,9,0.6,1.3,5.7
11329,Quido van Kampen,14.0,1,4,7,0.6,2.6,4.5
11012,BRIAN MARSHALL,13.2,2,6,0,1.3,4.0,0.0
11560,EDWARD MCDONNELL,13.2,1,5,6,0.7,3.3,4.0
13574,Masato Oba,13.1,1,3,8,0.7,2.0,5.4
11729,HUD BIN KARIF,13.0,2,12,7,1.4,8.3,4.8
9229,DAN METCALF,13.0,1,5,1,0.7,3.5,0.7
11963,Jamal al Din bin Rahman,12.2,1,6,4,0.7,4.3,2.8
11997,Jeroen Schouten,12.0,1,6,6,0.8,4.5,4.5
10187,Chris Haynes,11.2,2,7,6,1.5,5.4,4.6
12276,MAURIO STROVEGNI,11.2,3,4,7,2.3,3.1,5.4
11632,ZHU MAK,11.1,1,5,7,0.8,4.0,5.6
10164,Matt McCarthy,11.1,1,2,5,0.8,1.6,4.0
12459,David Estrada,11.0,2,2,4,1.6,1.6,3.3
15021,Mike Knight,11.0,4,4,2,3.3,3.3,1.6
9353,Randy Shapiro,10.2,0,3,9,0.0,2.5,7.6
11489,EDWIN GOMEZ,9.2,0,2,11,0.0,1.9,10.2
12424,RAFAEL VARA,9.2,4,4,6,3.7,3.7,5.6
11460,PASCAL BERCOVICI,9.0,1,3,6,1.0,3.0,6.0
12373,Reginald Verschuur,9.0,1,5,5,1.0,5.0,5.0
10636,JEFF WILLEMS,9.0,1,2,7,1.0,2.0,7.0
10832,Isaiah Williams,8.2,0,6,2,0.0,6.2,2.1
11031,ALEX ZARAGOZA,8.2,2,1,5,2.1,1.0,5.2
10842,BRYAN HALL,8.0,1,4,4,1.1,4.5,4.5
11340,Lewis Curry,7.2,3,1,9,3.5,1.2,10.6
11251,Joon-ho Lee,7.0,0,1,6,0.0,1.3,7.7
9757,ETHAN POPHAM,7.0,0,2,8,0.0,2.6,10.3
11421,MARK HOUSE,6.1,0,0,1,0.0,0.0,1.4
12433,IJSBRAND DE BRUIJN,6.0,2,7,5,3.0,10.5,7.5
13818,Antonio Jimenez,6.0,0,5,5,0.0,7.5,7.5
12253,LOUIS HODGSON,5.2,0,0,1,0.0,0.0,1.6
10648,Archie Edmonds,5.1,0,0,7,0.0,0.0,11.8
11092,Alex Martinez,5.1,2,4,4,3.4,6.8,6.8
12863,Wessel Ballast,5.0,0,3,2,0.0,5.4,3.6
9993,Mike Palmer,5.0,1,1,1,1.8,1.8,1.8
11834,Ijsbert Pieterman,5.0,0,4,4,0.0,7.2,7.2
12203,Callum Clark,4.2,4,2,3,7.7,3.9,5.8
11705,JOSE MARTINEZ,4.2,1,0,5,1.9,0.0,9.6
9324,Jung-hoon Kang,4.1,0,3,3,0.0,6.2,6.2
9577,NICK GULLEY,4.0,0,1,3,0.0,2.2,6.8
9035,BOBBY SALAZAR,4.0,0,0,3,0.0,0.0,6.8
11809,Leo Ruiz,3.2,1,2,3,2.5,4.9,7.4
13446,Fernando Martinez,3.1,1,3,1,2.7,8.1,2.7
13167,KAMAL ABDUL-MUHAIMIN,2.1,0,1,3,0.0,3.9,11.6
13781,ROB VAN ZANTEN,2.1,1,1,3,3.9,3.9,11.6
12434,SLAVKO DJURDJUVIC,1.1,0,1,0,0.0,6.8,0.0
9734,DWIGHT STOKES,1.0,0,0,0,0.0,0.0,0.0
12892,Hana bin Maudad,0.1,0,0,0,0.0,0.0,0.0
11005,JORGE RODRIGUEZ,0.0,0,3,0,0.0,0.0,0.0
