#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Sugar Kings,111,51,39.25,19.19,58.43,52.57
2,Outlaws,102,60,31.28,22.26,53.54,48.46
3,Blue Wave,104,58,32.26,21.00,53.27,50.73
4,Hunters,88,75,29.61,20.39,49.99,38.01
5,Mermen,94,68,37.26,11.86,49.11,44.89
6,Shellbacks,95,67,27.86,18.72,46.57,48.43
7,Sun Chasers,85,77,18.25,24.33,42.58,42.42
8,Huskies,87,76,20.49,17.13,37.62,49.38
9,Dragons,78,84,23.73,13.19,36.92,41.08
10,Bite,84,78,13.26,23.21,36.47,47.53
11,Spiders,74,88,21.05,13.82,34.87,39.13
12,Tigers,83,79,17.13,15.57,32.70,50.30
13,Honu,76,86,23.64,6.57,30.21,45.79
14,Homewreckers,68,94,14.37,13.31,27.69,40.31
15,Blucifers,83,79,8.59,18.70,27.28,55.72
16,Centurions,66,96,8.61,10.50,19.12,46.88
17,Surfers,65,97,1.57,16.73,18.30,46.70
18,Boazu,62,100,9.95,8.31,18.26,43.74
19,Bedouins,59,103,5.40,6.32,11.72,47.28
20,Red Coats,57,105,0.72,4.70,5.42,51.58
