ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
14465,Masaaki Koga,186.2,16,61,115,0.8,2.9,5.5
14464,Tsutomu Morimoto,186.0,18,69,109,0.9,3.3,5.3
15770,Robert Muir,186.0,15,59,115,0.7,2.9,5.6
15767,Nelis Steunebrink,181.1,18,63,108,0.9,3.1,5.4
14379,Canice Gordon,180.2,13,60,102,0.6,3.0,5.1
13955,Nick Beer,176.2,27,82,137,1.4,4.2,7.0
13870,Ismael Molina,176.2,19,67,111,1.0,3.4,5.7
13892,Hiroya Tanigawa,176.0,5,55,118,0.3,2.8,6.0
14583,Melorran Bennett,175.2,19,63,120,1.0,3.2,6.1
14507,Edgar Reyes,174.2,6,64,92,0.3,3.3,4.7
13333,Habbo van Rooijen,173.2,17,61,96,0.9,3.2,5.0
14487,Ed Rowsell,172.2,21,36,125,1.1,1.9,6.5
14428,Jim Shewman,172.0,13,52,102,0.7,2.7,5.3
14556,John Solis,169.1,19,76,80,1.0,4.0,4.3
16145,Chris Castillo,168.0,15,94,116,0.8,5.0,6.2
13856,Jai Flemming,167.0,9,54,78,0.5,2.9,4.2
13037,Dustin Calhoun,166.1,5,36,118,0.3,1.9,6.4
13327,Luke Prokopec,165.1,8,56,110,0.4,3.0,6.0
15554,Bill Dominguez,164.2,16,46,98,0.9,2.5,5.4
14095,Conrad Houwers,161.2,5,88,88,0.3,4.9,4.9
13944,Mendel Steenbergen,160.1,17,41,101,1.0,2.3,5.7
15566,Jaime Porras,160.0,6,60,113,0.3,3.4,6.4
14477,Zivojin Stanovcic,160.0,8,75,124,0.5,4.2,7.0
16384,Francisco Jiminez,159.1,15,33,61,0.8,1.9,3.4
14370,Devin Weicker,157.2,14,51,79,0.8,2.9,4.5
13711,Cruz Gamez,155.2,7,65,69,0.4,3.8,4.0
14022,Borenko Grol,155.1,14,67,80,0.8,3.9,4.6
14512,David More,155.0,9,50,91,0.5,2.9,5.3
12436,SEUNG-JAE YOO,154.0,10,49,88,0.6,2.9,5.1
15551,Jacques Bonnet,153.2,15,42,85,0.9,2.5,5.0
16008,Giustiniano Gerratana,151.2,14,61,87,0.8,3.6,5.2
14432,Omar Martinez,151.0,15,57,82,0.9,3.4,4.9
14079,Safwan Fawwaz,149.2,8,40,83,0.5,2.4,5.0
14053,Harry Moraine,149.2,17,52,94,1.0,3.1,5.7
13050,Josh Boyden,147.2,6,35,96,0.4,2.1,5.9
14566,Cody James,147.2,13,58,103,0.8,3.5,6.3
14740,Jayden Rooke,147.2,10,53,90,0.6,3.2,5.5
14312,Mario Martinez,146.1,4,35,74,0.2,2.2,4.6
15135,Robert Jennings,144.0,8,42,90,0.5,2.6,5.6
14495,Kelby Haggart,141.2,8,67,72,0.5,4.3,4.6
14041,Pedro Castrillo,140.2,15,53,59,1.0,3.4,3.8
15916,Mitchell Kimpton,139.1,14,52,55,0.9,3.4,3.6
