ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
12266,Bobby Faber,219.2,24,78,144,1.0,3.2,5.9
12435,KYUNG-BAE KIM,209.1,9,53,166,0.4,2.3,7.1
14704,Douglas Hare,206.1,24,66,149,1.0,2.9,6.5
13378,Abdul-Halim bin Ata,202.0,21,99,151,0.9,4.4,6.7
14180,Alexander Baker,200.2,25,75,94,1.1,3.4,4.2
16008,Giustiniano Gerratana,195.2,18,73,126,0.8,3.4,5.8
14428,Jim Shewman,195.1,20,54,63,0.9,2.5,2.9
15135,Robert Jennings,194.2,24,66,138,1.1,3.1,6.4
12684,Jin-ho Seol,193.1,14,91,113,0.7,4.2,5.3
13255,Victor Escobar,191.0,12,64,100,0.6,3.0,4.7
13536,Alex Escalante,190.1,9,72,106,0.4,3.4,5.0
12717,Duilio Saia,183.2,15,84,120,0.7,4.1,5.9
14379,Canice Gordon,183.0,12,44,124,0.6,2.2,6.1
14740,Jayden Rooke,182.1,10,55,99,0.5,2.7,4.9
14449,Wafiq Jibril,181.0,20,64,125,1.0,3.2,6.2
15658,Lance Lake,180.2,11,33,98,0.5,1.6,4.9
13232,Ramon Garza,180.0,18,74,134,0.9,3.7,6.7
12568,Este Verrochio,179.2,20,60,125,1.0,3.0,6.3
14589,Ruben Calle,178.0,9,53,119,0.5,2.7,6.0
13476,Brian Clark,177.2,11,72,116,0.6,3.6,5.9
12083,Ciro Strambi,177.2,10,51,129,0.5,2.6,6.5
13037,Dustin Calhoun,177.1,10,67,112,0.5,3.4,5.7
13546,Vincent Bradley,173.0,19,53,117,1.0,2.8,6.1
15557,Charlie Glynn,171.2,25,51,137,1.3,2.7,7.2
12079,Takeo Nakano,171.0,10,59,124,0.5,3.1,6.5
16207,Dante Vercesi,171.0,9,70,117,0.5,3.7,6.2
12954,KANE DOWNES,168.2,10,49,104,0.5,2.6,5.5
13019,Chet Legge,168.1,23,46,124,1.2,2.5,6.6
14586,Rob Harman,166.1,15,59,88,0.8,3.2,4.8
13338,Mark McKenzie,163.2,8,32,104,0.4,1.8,5.7
12571,Juan Maya,163.0,7,46,118,0.4,2.5,6.5
