#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Huskies,105,57,40.83,25.05,65.88,39.12
2,Mermen,88,74,25.24,24.16,49.41,38.59
3,Blue Wave,86,76,25.04,19.79,44.82,41.18
4,Hunters,96,66,23.56,21.14,44.70,51.30
5,Sugar Kings,94,68,27.21,15.01,42.22,51.78
6,Surfers,87,75,20.90,14.62,35.52,51.48
7,Tigers,89,73,15.68,19.49,35.18,53.82
8,Outlaws,79,83,17.82,16.51,34.33,44.67
9,Homewreckers,74,88,15.80,18.11,33.90,40.10
10,Spiders,75,87,25.75,7.64,33.39,41.61
11,Sun Chasers,82,80,15.86,17.27,33.14,48.86
12,Blucifers,73,89,7.32,16.90,24.22,48.78
13,Honu,73,89,12.36,11.25,23.62,49.38
14,Shellbacks,71,91,11.04,12.41,23.45,47.55
15,Bite,63,99,7.96,12.93,20.90,42.10
16,Dragons,61,101,13.15,4.17,17.32,43.68
