#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Huskies,109,53,46.99,23.66,70.65,38.35
2,Hunters,106,56,39.29,23.90,63.19,42.81
3,Sugar Kings,95,67,35.61,19.27,54.88,40.12
4,Mermen,94,68,36.30,12.58,48.88,45.12
5,Blucifers,87,75,23.89,24.37,48.26,38.74
6,Shellbacks,90,73,33.15,13.08,46.22,43.78
7,Blue Wave,88,74,18.50,23.51,42.00,46.00
8,Bedouins,89,74,28.46,12.14,40.60,48.40
9,Outlaws,81,81,20.41,13.62,34.04,46.96
10,Homewreckers,80,82,17.45,13.26,30.71,49.29
11,Boazu,77,85,7.47,21.92,29.39,47.61
12,Honu,82,80,13.26,15.71,28.97,53.03
13,Centurions,72,90,8.40,18.00,26.40,45.60
14,Spiders,66,96,20.03,6.07,26.09,39.91
15,Tigers,75,87,6.87,18.29,25.16,49.84
16,Surfers,70,92,17.20,7.65,24.85,45.15
17,Dragons,68,94,11.12,10.58,21.70,46.30
18,Sun Chasers,66,96,9.56,11.52,21.08,44.92
19,Red Coats,64,98,9.09,4.96,14.05,49.95
20,Bite,62,100,3.72,10.01,13.73,48.27
