#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Huskies,95,67,35.03,16.68,51.71,43.29
2,Hunters,100,62,33.41,17.35,50.76,49.24
3,Blucifers,95,67,21.14,25.31,46.45,48.55
4,Mermen,82,80,29.32,14.98,44.30,37.70
5,Bedouins,85,77,25.12,16.45,41.57,43.43
6,Shellbacks,81,81,28.87,12.46,41.34,39.66
7,Homewreckers,89,73,21.73,19.02,40.76,48.24
8,Surfers,91,71,23.20,14.02,37.22,53.78
9,Honu,87,75,23.24,13.46,36.70,50.30
10,Outlaws,91,71,17.72,17.31,35.03,55.97
11,Boazu,73,89,14.53,19.02,33.55,39.45
12,Centurions,87,75,15.85,17.46,33.31,53.69
13,Blue Wave,74,88,11.44,20.24,31.69,42.31
14,Spiders,78,84,21.27,9.86,31.13,46.87
15,Sun Chasers,73,89,15.60,11.80,27.40,45.60
16,Bite,71,91,8.14,18.04,26.18,44.82
17,Red Coats,78,84,20.28,5.72,26.00,52.00
18,Dragons,68,94,13.74,6.07,19.81,48.19
19,Sugar Kings,68,94,12.48,6.96,19.43,48.57
20,Tigers,54,108,0.24,7.79,8.03,45.97
