ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
13418,Israel Solis,197.0,19,68,136,0.9,3.1,6.2
10961,Chris Palladino,190.2,11,51,127,0.5,2.4,6.0
12419,GIAN-ANDREA CARANDINI,186.2,9,49,129,0.4,2.4,6.2
11908,Hugo Ramirez,186.0,15,49,136,0.7,2.4,6.6
13342,Tom Bach,183.2,13,65,107,0.6,3.2,5.2
13812,Willis Lozano,183.1,18,60,127,0.9,2.9,6.2
11538,ADRIAN DAVIES,181.2,11,95,116,0.5,4.7,5.7
12674,Mike Carrion,175.2,27,62,63,1.4,3.2,3.2
11610,SRETEN KUKCENJAC,171.1,20,38,117,1.1,2.0,6.1
10608,Cody Hillock,170.2,12,46,104,0.6,2.4,5.5
11604,IVAN ANDRIC,169.0,6,53,99,0.3,2.8,5.3
11723,SERGIO TREJO,168.2,24,42,119,1.3,2.2,6.3
13082,Sam Marx,167.1,10,62,82,0.5,3.3,4.4
12898,Freddy Fuentes,164.0,10,48,79,0.5,2.6,4.3
12815,Tai sun Li,163.0,21,54,102,1.2,3.0,5.6
10989,KYLE PAINTER,162.0,23,67,93,1.3,3.7,5.2
15561,Samuel Paquet,161.1,18,56,94,1.0,3.1,5.2
12081,Angel Gonzalez,161.0,10,62,111,0.6,3.5,6.2
12855,Ole van den Hoogen,159.1,6,40,84,0.3,2.3,4.7
13466,Herman Moesker,159.0,11,70,89,0.6,4.0,5.0
11783,MARCEL REALE,157.2,10,46,87,0.6,2.6,5.0
11031,ALEX ZARAGOZA,157.1,20,35,125,1.1,2.0,7.2
13122,Urs Bloom,157.0,8,58,72,0.5,3.3,4.1
12967,JAE-HEE KWAK,157.0,17,41,87,1.0,2.4,5.0
11675,GILBERT LELOUP,156.2,26,68,117,1.5,3.9,6.7
12395,PAT LUSH,156.2,28,63,101,1.6,3.6,5.8
12843,Habib bin Zaim,155.1,15,66,108,0.9,3.8,6.3
13295,Owen Begum,150.1,12,66,95,0.7,4.0,5.7
13574,Masato Oba,150.0,15,55,113,0.9,3.3,6.8
12381,ROARTY BROWN,149.1,8,44,107,0.5,2.7,6.4
13572,Suljo Djokovic,148.0,22,40,69,1.3,2.4,4.2
13638,Vladislav Stojsic,146.2,12,28,98,0.7,1.7,6.0
14072,Armando Moreno,146.1,14,69,87,0.9,4.2,5.4
12077,Roy Thompson,143.0,15,42,58,0.9,2.6,3.7
12681,Oliver Blakey,142.2,9,60,86,0.6,3.8,5.4
13693,Joon-ho Jung,142.2,16,61,94,1.0,3.8,5.9
10652,Cleto Favela,141.0,26,70,115,1.7,4.5,7.3
12203,Callum Clark,138.1,10,52,84,0.7,3.4,5.5
12373,Reginald Verschuur,138.0,7,58,80,0.5,3.8,5.2
10563,MARK HAMILTON,137.1,7,36,89,0.5,2.4,5.8
12019,Juan Maldonado,137.0,13,52,86,0.9,3.4,5.6
12202,Alejandro Arocha,136.1,13,48,83,0.9,3.2,5.5
12223,Adriano Sells,136.1,10,44,71,0.7,2.9,4.7
11083,Remco Hoeksma,135.1,17,44,110,1.1,2.9,7.3
10969,JASON GARNETT,131.1,11,57,100,0.8,3.9,6.9
11583,Matt Marr,131.1,7,26,82,0.5,1.8,5.6
11005,JORGE RODRIGUEZ,131.0,9,44,76,0.6,3.0,5.2
12581,Brassal Rampling,130.1,1,29,88,0.1,2.0,6.1
12424,RAFAEL VARA,129.1,19,42,89,1.3,2.9,6.2
13299,Dae-hyung Oh,128.0,8,36,73,0.6,2.5,5.1
11317,Henry Boon,127.1,9,37,85,0.6,2.6,6.0
