#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Huskies,90,72,28.17,25.25,53.42,36.58
2,Spiders,80,82,39.55,9.91,49.47,30.53
3,Sugar Kings,100,63,31.70,16.72,48.43,51.57
4,Mermen,99,64,33.61,14.30,47.91,51.09
5,Blue Wave,110,52,26.65,20.84,47.49,62.51
6,Outlaws,92,70,27.67,19.15,46.82,45.18
7,Bite,83,79,19.19,18.84,38.03,44.97
8,Surfers,92,70,13.88,19.78,33.66,58.34
9,Dragons,83,79,18.43,15.16,33.59,49.41
10,Sun Chasers,87,75,13.42,19.81,33.23,53.77
11,Blucifers,85,77,9.62,22.93,32.55,52.45
12,Homewreckers,68,94,13.86,16.75,30.61,37.39
13,Tigers,76,86,11.52,18.93,30.45,45.55
14,Hunters,70,92,15.08,14.52,29.59,40.41
15,Centurions,67,95,7.44,18.32,25.76,41.24
16,Shellbacks,73,89,12.60,9.58,22.18,50.82
17,Honu,53,109,5.82,5.30,11.12,41.88
18,Boazu,51,111,5.08,5.38,10.46,40.54
