ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
15775,Guy Nichol,34.1,3,12,28,0.8,3.1,7.3
13850,Charlie Parker,34.1,0,12,18,0.0,3.1,4.7
13056,Quintin Bugbie,34.0,1,16,27,0.3,4.2,7.1
13086,Chris Dixon,34.0,2,12,15,0.5,3.2,4.0
14405,Arnáo Santarm,34.0,4,30,22,1.1,7.9,5.8
15381,Sung-min Shin,34.0,3,13,19,0.8,3.4,5.0
12264,Tony Martinez,33.2,2,17,15,0.5,4.5,4.0
12848,Yoshii Sato,33.2,3,16,17,0.8,4.3,4.5
12504,Ratib bin Afeef,33.0,6,12,15,1.6,3.3,4.1
13035,Tony Harding,32.2,2,17,15,0.6,4.7,4.1
14366,Sinisa Prpos,32.2,1,18,17,0.3,5.0,4.7
13530,Alex Serrano,32.2,0,15,22,0.0,4.1,6.1
14219,Armando Mendes,32.1,4,10,14,1.1,2.8,3.9
11578,Edwin Zapata,32.1,4,17,28,1.1,4.7,7.8
11827,Sergej van Goor,31.2,2,13,21,0.6,3.7,6.0
11607,JOHN YOAKUM,31.2,4,32,23,1.1,9.1,6.5
11559,ED HAYDON,31.1,2,13,26,0.6,3.7,7.5
11658,Ramon Martinez,31.0,1,11,25,0.3,3.2,7.3
12217,Jovica Pupovac,31.0,2,7,20,0.6,2.0,5.8
13741,Kane Aston,30.2,6,22,23,1.8,6.5,6.8
12611,Danny Bernal,30.1,6,14,11,1.8,4.2,3.3
12010,Pino Funicello,30.1,2,10,23,0.6,3.0,6.8
15023,Craig Savin,30.1,1,7,7,0.3,2.1,2.1
12086,Theodore Tippett,30.0,1,13,23,0.3,3.9,6.9
14586,Rob Harman,29.2,5,14,12,1.5,4.2,3.6
11811,Gordon Crabtree,29.0,3,11,17,0.9,3.4,5.3
12968,MIKE BERTEL,28.2,3,18,10,0.9,5.7,3.1
11609,MYUNG-WOO KIM,28.2,6,13,23,1.9,4.1,7.2
11937,Marcus Miller,28.2,4,5,27,1.3,1.6,8.5
11518,CARLOS PEREZ,28.2,2,9,15,0.6,2.8,4.7
12597,Huibrecht Mulder,28.0,4,8,15,1.3,2.6,4.8
13935,Lee Younker,27.2,5,8,19,1.6,2.6,6.2
12473,Jose Ruiz,27.1,3,8,19,1.0,2.6,6.3
13272,Jamie Wells,27.1,2,9,21,0.7,3.0,6.9
14849,Pascal Hiemstra,27.0,1,7,12,0.3,2.3,4.0
11324,Roald Spierenburg,27.0,0,17,20,0.0,5.7,6.7
11426,ELDON LEMESSURIER,26.2,1,18,21,0.3,6.1,7.1
16008,Giustiniano Gerratana,26.1,1,8,17,0.3,2.7,5.8
12810,Nicky Beaumont,26.0,2,9,12,0.7,3.1,4.2
12206,Slobodan Kukcenjac,26.0,2,27,17,0.7,9.3,5.9
13731,Leon Park,26.0,2,17,23,0.7,5.9,8.0
11558,MIKE SMITH,26.0,0,13,27,0.0,4.5,9.3
11942,Warren Wonnocott,26.0,3,11,13,1.0,3.8,4.5
13105,Draza Moljevic,25.2,2,7,15,0.7,2.5,5.3
13483,Radovan Stanisic,25.1,4,9,15,1.4,3.2,5.3
13505,Tony Tejeda,25.1,3,13,11,1.1,4.6,3.9
14059,Norman Clow,25.0,2,12,15,0.7,4.3,5.4
13865,Omarion Bedford,24.2,1,16,16,0.4,5.8,5.8
12898,Freddy Fuentes,24.2,2,12,13,0.7,4.4,4.7
13356,Jay Williamson,24.2,4,14,24,1.5,5.1,8.8
12241,George Black,24.1,0,10,21,0.0,3.7,7.8
11885,Daniel Fallon,24.1,1,7,17,0.4,2.6,6.3
13215,Victor Felix,24.1,1,6,18,0.4,2.2,6.7
13314,Frank Guevara,24.1,4,9,17,1.5,3.3,6.3
13087,Dario Gomez,24.0,2,6,19,0.8,2.2,7.1
12299,YASUFUMI HARAGUCHI,23.2,3,8,19,1.1,3.0,7.2
12433,IJSBRAND DE BRUIJN,23.1,7,5,12,2.7,1.9,4.6
11768,PABLO CASTANEDA,22.2,1,6,13,0.4,2.4,5.2
11483,KEN LEE,22.1,2,6,27,0.8,2.4,10.9
12589,Emmanuel Cavalleri,22.0,2,3,12,0.8,1.2,4.9
11831,Gabel Lijzenga,22.0,0,15,15,0.0,6.1,6.1
14607,Duk-yoon Pyo,22.0,2,7,12,0.8,2.9,4.9
12886,George Storey,22.0,5,8,23,2.0,3.3,9.4
13575,Asim Zukic,22.0,4,8,16,1.6,3.3,6.5
11907,Yoelbi Campinho,21.2,0,5,12,0.0,2.1,5.0
12874,Al Montoya,21.1,2,7,13,0.8,3.0,5.5
13324,Lewis Wylie,21.1,1,5,16,0.4,2.1,6.8
14248,Geomar Tiscorinia,21.0,5,17,13,2.1,7.3,5.6
14410,Carlos Guerrero,20.2,2,8,18,0.9,3.5,7.8
11597,ZIYAD KUTAIBA,20.2,2,10,14,0.9,4.4,6.1
12986,ROBERT LAUWERS,20.2,4,14,20,1.7,6.1,8.7
13399,Donnie Poor,20.2,2,10,17,0.9,4.4,7.4
12090,Gennarino Carnascialli,20.1,4,9,14,1.8,4.0,6.2
12394,JONATHAN KEAVENEY,20.1,4,21,18,1.8,9.3,8.0
13539,Valerio Bessi,19.2,0,10,13,0.0,4.6,5.9
12209,Humberto Boye,19.2,1,4,13,0.5,1.8,5.9
12871,Oscar Halley,19.2,2,10,11,0.9,4.6,5.0
13121,Luciano Maccioni,19.2,1,10,12,0.5,4.6,5.5
13744,Stewart Sproule,19.2,0,5,10,0.0,2.3,4.6
13937,Pedrag Buturovic,19.1,2,11,7,0.9,5.1,3.3
12664,Amjad bin Raghib,18.2,3,8,14,1.4,3.9,6.8
14449,Wafiq Jibril,18.2,0,2,9,0.0,1.0,4.3
12731,Do-hyung Lee,18.2,2,4,14,1.0,1.9,6.8
14512,David More,18.2,2,9,14,1.0,4.3,6.8
11846,Marcus Lois,18.1,1,10,12,0.5,4.9,5.9
14641,Joong-hee Kim,17.2,0,8,10,0.0,4.1,5.1
10953,JOHN GONZALEZ,17.0,0,8,13,0.0,4.2,6.9
13393,Jonathan Patrick,17.0,2,5,10,1.1,2.6,5.3
13679,Coen de Zwart,16.0,2,3,11,1.1,1.7,6.2
12911,DAVE FLORES,16.0,5,5,8,2.8,2.8,4.5
13185,DON KELLY,16.0,0,4,14,0.0,2.2,7.9
12791,David Barajas,15.0,2,9,8,1.2,5.4,4.8
13685,Angelo Ramos,15.0,2,3,9,1.2,1.8,5.4
13370,Ray Stantz,15.0,0,3,13,0.0,1.8,7.8
14428,Jim Shewman,14.1,1,4,2,0.6,2.5,1.3
13714,Abdul-Malik bin Kameel,14.0,0,12,9,0.0,7.7,5.8
12569,Addie van der Scheer,14.0,2,6,7,1.3,3.9,4.5
12833,Kane Ridley,13.2,2,8,9,1.3,5.3,5.9
12792,Danny Sandoval,13.2,1,8,12,0.7,5.3,7.9
13954,Constant Napoleoni,13.1,1,4,6,0.7,2.7,4.0
14096,Juan Blancas,12.2,2,8,5,1.4,5.7,3.6
12006,Lílian Cassadora,12.2,2,4,7,1.4,2.8,5.0
10966,CHRIS MATTHEWS,12.2,0,8,13,0.0,5.7,9.2
14851,Ewan Attwood,12.1,1,3,10,0.7,2.2,7.3
14356,Jung-hoon Kim,12.0,0,4,6,0.0,3.0,4.5
12646,Eligio Bottesini,11.2,3,7,12,2.3,5.4,9.3
13235,Quentin Donalds,11.2,0,9,10,0.0,6.9,7.7
14476,Trevor Griffiths,11.2,0,8,7,0.0,6.2,5.4
13224,David Gonzalez,11.1,1,7,11,0.8,5.6,8.7
12186,Danny Torres,11.1,3,4,5,2.4,3.2,4.0
15156,Will Wicks,11.0,0,4,6,0.0,3.3,4.9
12243,SCOTT STOKES,10.2,0,6,4,0.0,5.1,3.4
13589,Bastien Cottolengo,10.1,3,5,5,2.6,4.4,4.4
15021,Mike Knight,10.0,6,6,6,5.4,5.4,5.4
12984,DESIDERIO ROMANELLI,9.1,2,6,10,1.9,5.8,9.6
11641,MASAKATSU KIMURA,9.0,0,6,4,0.0,6.0,4.0
12004,Valter Mina,8.0,0,1,2,0.0,1.1,2.2
12858,Luigi Osborne,8.0,2,7,4,2.2,7.9,4.5
11329,Quido van Kampen,8.0,0,3,6,0.0,3.4,6.8
11879,Michael del Carmen,6.2,0,2,5,0.0,2.7,6.8
13886,Marcel Mazzolani,6.2,0,1,4,0.0,1.3,5.4
12076,Mu'awiyah Sabeeh,6.2,0,2,2,0.0,2.7,2.7
13050,Josh Boyden,6.1,0,3,4,0.0,4.3,5.7
15561,Samuel Paquet,6.1,1,2,2,1.4,2.8,2.8
13401,Giovanni Canalo,6.0,2,1,4,3.0,1.5,6.0
14702,Juan Diaz,6.0,0,3,3,0.0,4.5,4.5
12568,Este Verrochio,6.0,1,2,2,1.5,3.0,3.0
11576,ROBBY DROHAN,5.2,0,2,2,0.0,3.2,3.2
13227,Leon Norris,5.2,0,3,7,0.0,4.8,11.1
14819,Victor Agramonte,5.1,1,0,4,1.7,0.0,6.8
13141,Jovan Djorovic,5.1,0,4,3,0.0,6.8,5.1
14315,Ciaran Munro,5.1,1,3,1,1.7,5.1,1.7
14141,Matthew Robert,5.0,1,0,2,1.8,0.0,3.6
13928,Keith Smith,5.0,0,3,4,0.0,5.4,7.2
11993,Moises Ortiz,4.2,0,4,9,0.0,7.7,17.4
13968,Khuzaymah Hamid,4.1,2,0,2,4.2,0.0,4.2
12893,Hiromichi Ono,4.1,0,1,2,0.0,2.1,4.2
12655,Ivo Zonta,4.1,1,3,5,2.1,6.2,10.4
12418,BENEDITO FRADESSO,4.0,2,1,2,4.5,2.2,4.5
13776,Orlando Sanchez,4.0,0,3,1,0.0,6.8,2.2
13898,Shafeeq bin Rafi,3.2,0,3,3,0.0,7.4,7.4
12068,Lou Greenan,3.2,1,3,3,2.5,7.4,7.4
13524,Danny Medellin,3.2,2,2,3,4.9,4.9,7.4
14263,Tito Stinzi,3.2,0,0,2,0.0,0.0,4.9
12201,Branislav Veselin,3.1,0,1,6,0.0,2.7,16.2
14157,Cesar Berrios,3.0,0,3,0,0.0,9.0,0.0
14649,Santiago Diaz,3.0,0,1,2,0.0,3.0,6.0
14545,Joe Tinter,3.0,1,0,0,3.0,0.0,0.0
14706,Gerry Frew,2.2,0,2,5,0.0,6.8,16.9
15382,Ronald Hickman,2.2,0,0,2,0.0,0.0,6.8
14457,Robert DeNeve,2.1,0,1,1,0.0,3.9,3.9
13362,Nate Hardin,2.1,0,2,1,0.0,7.7,3.9
12440,DAVID HERNANDEZ,2.0,0,1,1,0.0,4.5,4.5
15276,Mauricio Valquez,2.0,0,3,1,0.0,13.5,4.5
