id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
38083,8340,2008,55,0,203,4,1,0,365,78,71,387,1282,111,110,14,2,11,36,37,2,2,16,0,5,2,1,3,0,-1.8096,0,-0.3004,0.9778
38402,8350,2008,53,0,203,4,1,0,422,111,99,448,1503,133,132,20,7,4,61,26,19,9,21,0,8,1,0,4,0,0.2408,0,0.9452,1.5209
38530,8351,2008,52,0,203,4,1,0,63,13,13,73,245,22,21,2,0,1,5,6,0,0,8,0,3,1,0,1,0,-0.6688,0,-0.1745,0.1804
38586,8352,2008,55,0,203,4,1,0,161,48,22,171,507,43,41,1,0,2,20,10,6,3,7,0,3,0,1,2,0,-0.4371,0,1.9259,0.8247
38758,8357,2008,54,0,203,4,1,0,249,53,44,262,824,83,83,13,1,2,17,14,1,0,11,0,6,0,1,1,0,-2.2955,0,-2.9787,-0.1295
38939,8360,2008,52,0,203,4,1,0,182,55,30,203,785,47,46,10,1,8,24,29,0,0,18,0,6,0,2,1,0,1.0001,0,-2.129,1.1982
39537,8385,2008,51,0,203,4,1,0,524,164,79,560,1738,134,128,47,6,14,70,65,12,17,26,1,6,0,8,2,0,0.4578,0,0.7365,5.2862
39752,8387,2008,58,0,203,4,1,0,46,10,11,49,151,28,17,2,1,0,6,7,1,0,1,0,1,1,0,1,0,-0.1927,0,-0.487,-0.4265
39942,8392,2008,51,0,203,4,1,0,294,75,66,317,1108,81,79,17,2,6,38,27,7,3,20,1,2,1,1,1,0,0.2326,0,0.3425,1.5677
40268,8398,2008,64,0,203,4,1,0,515,129,94,564,1874,130,129,22,4,13,63,54,21,7,39,1,7,0,4,6,0,-0.7971,0,0.2663,1.278
40391,8402,2008,54,0,203,4,1,0,3,0,0,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242,0,0.0,-0.0681
40523,8408,2008,59,0,203,4,1,0,2,1,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801,0,0.0,0.0318
40773,8412,2008,57,0,203,4,1,0,406,126,62,439,1401,109,106,18,9,8,62,54,21,8,24,0,10,0,3,6,0,0.7448,0,3.6491,4.463
40895,8417,2008,63,0,203,4,1,0,113,27,23,120,406,33,33,2,0,5,12,16,2,2,6,0,0,1,0,0,0,0.0154,0,0.1704,0.7309
41240,8427,2008,53,0,203,4,1,0,115,25,26,130,484,82,10,5,1,1,11,7,0,2,12,1,8,1,2,0,0,-0.6178,0,-0.3728,-0.2015
41302,8429,2008,49,0,203,4,1,0,307,84,49,334,1232,80,78,17,9,4,37,23,5,2,25,3,11,0,0,2,0,0.0641,0,-0.1013,2.1451
41838,8452,2008,62,0,203,4,1,0,4,3,0,4,13,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3773,0,0.0,0.138
42008,8454,2008,53,0,203,4,1,0,97,19,17,105,380,41,35,4,1,0,8,10,2,3,6,0,2,0,2,0,0,-0.7963,0,0.3488,-0.0643
42072,8457,2008,57,0,203,4,1,0,270,74,31,304,1056,80,72,10,0,1,24,20,0,0,33,3,10,0,1,0,0,0.3742,0,-0.965,-0.0921
42130,8461,2008,56,0,203,4,1,0,12,4,2,13,55,19,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,-0.0393,0,0.0195,0.195
42160,8467,2008,58,0,203,4,1,0,282,81,39,328,1170,105,83,25,5,7,47,43,16,3,32,1,3,8,4,2,0,0.8037,0,2.8857,2.5934
42181,8468,2008,62,0,203,4,1,0,120,24,27,139,572,77,40,4,0,1,18,6,5,2,15,0,3,3,0,1,0,-1.1513,0,0.7058,0.4329
42343,8476,2008,59,0,203,4,1,0,28,3,4,29,96,9,9,0,0,0,2,2,0,0,1,0,0,0,0,0,0,-0.4016,0,0.4657,-0.465
42465,8479,2008,49,0,203,4,1,0,8,0,3,10,38,4,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-0.1996,0,0.0,-0.1934
43124,8500,2008,58,0,203,4,1,0,25,7,4,29,121,8,8,1,0,1,4,3,0,0,2,0,1,0,1,1,0,-0.1257,0,-1.2795,0.0372
44168,8528,2008,64,0,203,4,1,0,519,135,67,562,1851,136,128,30,3,11,66,68,12,9,33,2,14,0,6,4,0,-0.0749,0,0.4362,2.0099
44284,8531,2008,54,0,203,4,1,0,25,3,7,25,80,18,7,1,1,0,1,2,0,0,0,0,4,0,0,0,0,-0.5044,0,0.0,-0.2622
44455,8541,2008,101,0,203,4,1,0,482,137,59,563,2344,134,123,18,1,27,90,84,3,2,69,4,5,0,9,3,0,1.5782,0,0.0589,3.7007
44497,8542,2008,55,0,203,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
44572,8546,2008,62,0,203,4,1,0,80,20,12,85,278,27,24,2,0,2,6,9,0,0,3,0,3,0,0,2,0,-0.5459,0,0.199,0.259
44631,8549,2008,57,0,203,4,1,0,335,81,52,376,1254,104,99,18,1,4,37,37,2,2,31,4,13,3,4,3,0,-1.1699,0,2.0521,0.6448
44848,8564,2008,59,0,203,4,1,0,92,33,8,98,289,27,24,8,0,2,19,9,4,0,5,0,1,0,1,0,0,0.5883,0,0.3812,0.7856
44858,8564,2008,58,0,203,4,1,0,88,19,13,95,309,21,21,9,0,0,16,3,8,2,7,0,1,0,0,0,0,-0.5406,1,0.7269,0.0566
45216,8575,2008,101,0,203,4,1,0,187,41,51,196,662,68,66,7,1,2,14,20,3,2,7,0,7,1,1,0,0,-1.0896,0,-1.6313,-1.3122
45221,8575,2008,97,0,203,4,1,0,3,2,1,3,10,19,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0.11,1,-0.4487,0.0081
45429,8578,2008,64,0,203,4,1,0,433,139,79,471,1604,134,131,17,0,16,54,76,2,1,32,0,8,1,4,1,0,2.8687,0,-2.7603,3.8859
45589,8579,2008,59,0,203,4,1,0,20,3,4,23,84,7,7,0,0,1,2,3,0,0,2,0,2,1,0,0,0,-0.2764,0,0.0413,-0.0428
45682,8583,2008,49,0,203,4,1,0,173,50,33,187,604,54,49,16,2,1,19,11,4,5,9,0,0,2,2,1,0,0.0897,0,2.3448,1.52
45912,8584,2008,64,0,203,4,1,0,387,74,98,427,1538,104,104,10,3,3,32,29,0,0,28,2,17,4,6,2,0,-4.4081,0,-0.5698,-2.0046
45991,8585,2008,56,0,203,4,1,0,3,2,1,3,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0,0.0848
46026,8587,2008,55,0,203,4,1,0,34,7,9,37,127,13,12,1,0,1,4,3,1,2,2,0,2,0,0,0,1,-0.6489,0,0.7153,0.4805
46084,8589,2008,59,0,203,4,1,0,286,63,53,306,1093,89,86,15,0,5,27,16,1,1,17,0,5,2,0,1,0,-1.9135,0,-1.7984,-0.6942
46340,8599,2008,58,0,203,4,1,0,144,33,33,157,529,71,57,5,1,1,10,15,1,4,5,0,0,4,3,0,1,-0.9864,0,0.1076,-0.1593
46803,8616,2008,52,0,203,4,1,0,48,12,7,53,192,27,10,2,0,1,4,5,0,0,4,0,0,0,1,0,0,-0.3057,0,0.1659,0.0016
46844,8617,2008,53,0,203,4,1,0,49,12,7,54,196,80,4,2,1,3,11,7,1,0,4,0,1,1,0,0,0,0.2136,0,0.5287,0.5103
47492,8647,2008,52,0,203,4,1,0,35,7,7,37,131,12,11,0,0,1,4,3,0,0,1,0,1,0,1,0,0,-0.471,0,0.347,-0.1631
47861,8662,2008,52,0,203,4,1,0,182,36,28,207,818,59,51,2,0,4,17,11,0,0,22,1,8,0,1,1,1,-2.6559,0,-0.268,0.1999
48121,8665,2008,62,0,203,4,1,0,108,23,22,129,541,43,27,5,0,3,18,10,1,0,18,1,4,0,2,1,0,-0.5906,0,-0.5034,0.2937
48220,8673,2008,54,0,203,4,1,0,159,33,21,173,574,47,46,3,1,3,16,9,0,0,13,0,3,0,0,1,0,-0.8476,0,0.7588,-0.1206
48450,8676,2008,59,0,203,4,1,0,120,33,19,138,563,39,29,7,0,6,20,17,4,1,16,0,0,0,1,1,0,0.2222,0,-0.0227,1.0362
48476,8677,2008,62,0,203,4,1,0,48,12,8,53,219,21,14,1,0,1,6,1,0,0,5,0,2,0,0,0,0,-0.4966,0,-0.0635,0.114
48509,8679,2008,50,0,203,4,1,0,461,111,62,506,1701,133,129,19,2,5,36,36,2,1,38,5,24,1,3,3,0,-4.0196,0,-4.3251,1.9868
48556,8682,2008,64,0,203,4,1,0,9,2,2,11,42,12,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0.0466,0,0.0,0.1482
48592,8683,2008,64,0,203,4,1,0,113,28,10,126,470,75,37,8,0,6,16,15,0,0,13,0,2,0,0,0,0,-0.1412,0,2.0814,0.7429
48648,8687,2008,63,0,203,4,1,0,16,4,0,18,68,6,6,0,0,0,3,0,1,0,2,0,2,0,0,0,0,-0.183,0,0.0397,-0.063
48681,8689,2008,49,0,203,4,1,0,19,3,5,22,88,21,1,0,0,0,1,3,0,0,3,0,1,0,0,0,0,-0.0543,0,0.0,-0.0716
48737,8690,2008,58,0,203,4,1,0,71,15,16,80,269,40,29,2,0,0,8,6,3,0,7,0,2,1,0,1,0,-0.2676,0,0.0636,0.1527
48875,8692,2008,54,0,203,4,1,0,481,137,78,528,2010,135,123,36,1,11,54,58,2,2,41,4,18,0,4,2,0,-0.6709,0,2.8601,5.0453
49097,8697,2008,52,0,203,4,1,0,455,103,87,510,1886,123,121,24,4,5,58,40,35,6,41,0,11,8,3,3,0,-1.1537,0,1.7206,1.5896
49535,8707,2008,49,0,203,4,1,0,123,32,19,133,491,53,28,7,2,2,11,16,0,0,7,0,0,1,2,0,0,-0.0555,0,0.4104,0.7589
49631,8715,2008,55,0,203,4,1,0,300,86,64,331,1137,79,76,16,7,10,45,41,7,5,20,0,11,0,6,5,0,-0.0457,0,1.8844,2.3178
50344,8728,2008,63,0,203,4,1,0,169,46,30,193,638,50,46,2,3,8,26,23,10,3,18,1,3,3,2,1,0,1.2082,0,0.4363,1.4883
50557,8733,2008,54,0,203,4,1,0,510,164,89,552,1864,140,135,35,2,13,57,54,1,0,34,2,24,0,5,3,0,0.4672,0,-1.8926,3.5119
53496,8815,2008,59,0,203,4,1,0,37,8,10,42,154,11,11,2,1,1,4,5,0,1,2,0,0,2,1,0,0,0.1884,0,-0.4617,-0.1347
53958,8832,2008,59,0,203,4,1,0,19,7,4,19,63,8,7,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0.0343,0,0.0,0.1192
54672,8853,2008,57,0,203,4,1,0,127,27,25,136,446,34,32,6,0,2,12,11,1,0,8,1,3,0,0,1,0,-0.8476,0,0.6288,0.4081
55799,8873,2008,56,0,203,4,1,0,535,160,77,594,1947,130,126,25,2,8,87,53,34,10,55,7,12,0,2,2,0,2.5553,0,-3.1306,6.054
56013,8874,2008,59,0,203,4,1,0,6,2,1,6,15,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.0188,0,0.0,0.08
56576,8913,2008,50,0,203,4,1,0,261,54,51,291,1109,100,61,4,1,8,26,33,0,1,29,2,15,0,1,0,0,-1.398,0,1.3936,-0.4368
56677,8916,2008,97,0,203,4,1,0,171,32,27,183,621,74,55,6,0,3,11,15,1,1,6,0,2,3,2,1,0,-1.1732,0,-2.2821,-0.9475
56707,8918,2008,61,0,203,4,1,0,485,121,77,554,2269,134,129,17,0,9,56,47,1,2,60,1,24,6,3,0,0,-0.7413,0,3.2344,3.3931
56804,8931,2008,51,0,203,4,1,0,107,22,15,123,464,84,21,4,0,2,7,14,0,0,12,1,2,2,1,1,0,0.2498,0,0.4744,-0.2634
56860,8935,2008,61,0,203,4,1,0,64,7,11,68,210,33,19,3,1,0,4,4,1,0,2,0,0,1,1,0,0,-0.8441,0,0.3443,-0.7185
57022,8943,2008,64,0,203,4,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
57550,8965,2008,59,0,203,4,1,0,17,7,3,20,67,5,5,0,0,0,2,1,0,0,3,0,2,0,0,0,0,-0.0176,1,-0.4124,0.207
57730,8973,2008,54,0,203,4,1,0,263,63,41,296,1048,121,48,10,4,5,32,21,0,0,31,5,11,0,1,1,0,0.5393,0,-1.2772,0.0614
58087,8980,2008,50,0,203,4,1,0,416,118,65,488,1933,124,110,31,0,13,50,48,0,0,63,2,16,0,8,1,0,1.4493,0,-4.2775,4.327
58340,8986,2008,64,0,203,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
58599,8997,2008,54,0,203,4,1,0,486,114,88,535,1901,136,110,22,2,8,50,40,0,0,39,5,10,0,3,7,0,0.1489,0,0.5534,-0.1065
58661,8999,2008,54,0,203,4,1,0,92,22,16,98,325,53,36,3,0,0,4,6,0,1,4,0,4,1,0,1,0,-0.5078,0,0.0489,-0.217
58817,9003,2008,97,0,203,4,1,0,18,2,4,21,82,32,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,-0.3256,0,-0.5861,-0.0815
58842,9004,2008,62,0,203,4,1,0,460,131,91,534,2348,135,126,48,7,15,71,73,9,5,64,2,8,0,5,5,0,2.0096,0,-4.2955,6.408
59239,9017,2008,49,0,203,4,1,0,270,53,35,305,1170,83,65,5,1,4,23,15,4,1,32,5,6,0,2,1,0,-1.0311,0,-4.1715,-0.9607
59265,9022,2008,56,0,203,4,1,0,332,57,56,391,1563,113,110,8,0,9,39,32,0,0,40,0,14,14,3,2,0,-1.5409,0,-2.2495,0.8194
59623,9025,2008,51,0,203,4,1,0,309,74,50,370,1458,123,74,16,0,10,41,35,0,1,55,3,9,0,1,5,0,-0.3724,0,-1.4865,2.1146
59647,9026,2008,61,0,203,4,1,0,136,32,35,152,553,32,32,5,1,2,18,7,1,1,16,1,4,0,0,0,0,-0.2651,0,1.4615,0.6201
59695,9027,2008,58,0,203,4,1,0,243,63,50,282,1146,80,76,10,2,12,33,44,7,4,28,0,4,4,4,3,0,0.9607,0,-1.5302,1.6752
59961,9031,2008,101,0,203,4,1,0,153,33,36,172,608,72,57,0,0,2,17,12,0,0,11,0,5,1,2,5,0,-1.2188,0,0.1565,-1.3695
60013,9032,2008,58,0,203,4,1,0,14,4,0,16,60,22,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,-0.2469,0,0.0018,0.1081
60113,9036,2008,97,0,203,4,1,0,138,26,36,143,484,45,41,2,0,1,8,4,0,0,5,0,7,0,0,0,0,-1.7369,0,0.7934,-1.0748
60167,9037,2008,54,0,203,4,1,0,19,6,5,24,83,26,1,1,0,0,2,1,1,0,4,1,0,1,0,0,0,-0.008,0,0.7796,0.2604
60261,9041,2008,63,0,203,4,1,0,118,21,23,129,501,37,36,4,0,0,11,7,0,0,10,0,5,0,0,1,0,-1.2998,0,1.5164,-0.8302
60309,9044,2008,54,0,203,4,1,0,18,5,0,23,75,7,7,0,0,0,1,0,1,1,3,0,0,2,0,0,0,-0.1758,0,-0.1465,-0.1245
60648,9049,2008,49,0,203,4,1,0,480,131,77,516,1828,123,119,21,0,8,43,49,2,0,29,0,23,0,5,2,0,-2.6369,0,-6.1773,1.3596
60739,9050,2008,101,0,203,4,1,0,278,68,64,306,1097,91,89,11,2,3,30,25,1,0,18,0,8,4,4,2,0,-1.4768,0,0.7575,-0.0415
60974,9060,2008,55,0,203,4,1,0,381,90,73,413,1402,103,100,19,4,7,41,31,29,6,27,1,7,0,5,0,0,-1.459,0,-0.5651,2.3731
61064,9062,2008,62,0,203,4,1,0,10,0,5,11,37,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0061,0,0.0,-0.2299
61104,9064,2008,54,0,203,4,1,0,79,23,17,89,304,67,27,4,1,5,12,15,0,2,7,1,0,1,1,1,0,-0.0775,0,1.1188,1.2214
61152,9065,2008,55,0,203,4,1,0,138,29,27,153,554,46,40,7,3,3,12,17,2,0,9,1,1,4,1,1,0,-1.4115,0,0.4084,0.2092
61336,9068,2008,63,0,203,4,1,0,431,117,102,504,2071,118,112,25,9,7,66,53,5,7,60,0,12,0,1,12,0,1.6806,0,0.0431,1.7082
61497,9070,2008,49,0,203,4,1,0,250,42,61,283,979,110,88,10,2,5,20,13,11,6,21,0,4,10,0,2,0,-1.2955,0,-1.0823,-0.6297
61709,9074,2008,101,0,203,4,1,0,245,58,42,273,993,95,72,8,1,7,21,36,0,0,20,1,9,2,3,3,0,-0.3881,0,0.9197,0.0157
61737,9076,2008,49,0,203,4,1,0,443,99,81,490,1758,132,130,18,3,7,38,47,0,2,30,0,14,8,3,6,0,-1.2417,0,-1.9598,1.2206
61818,9080,2008,58,0,203,4,1,0,137,37,28,149,534,76,43,8,0,1,18,11,2,2,10,0,4,1,1,0,0,-0.8409,0,1.172,0.317
61855,9082,2008,54,0,203,4,1,0,136,24,25,146,502,93,49,1,1,1,11,7,5,3,6,0,3,3,0,1,0,-1.7053,0,1.8178,0.2989
61872,9085,2008,54,0,203,4,1,0,99,12,26,109,414,79,42,3,0,2,9,9,0,0,7,0,2,3,0,0,0,-0.9685,0,0.9978,-1.2372
62011,9088,2008,62,0,203,4,1,0,249,58,54,294,1198,81,79,16,1,4,23,25,4,1,33,0,7,7,3,2,0,-1.5702,0,-2.018,-0.4192
62124,9091,2008,63,0,203,4,1,0,467,126,66,504,1755,128,119,14,0,10,44,43,4,1,32,3,18,1,3,1,0,-1.3725,0,-2.561,-0.2225
62162,9093,2008,63,0,203,4,1,0,379,105,85,429,1588,125,118,18,1,1,35,27,3,2,32,0,11,13,3,2,0,-1.3054,0,0.2963,1.9857
62319,9105,2008,50,0,203,4,1,0,311,88,48,336,1149,83,77,14,5,9,38,32,0,4,22,1,11,2,0,1,0,-1.4676,0,1.06,1.844
62421,9110,2008,52,0,203,4,1,0,30,11,4,30,112,8,8,4,1,0,6,0,2,0,0,0,1,0,0,0,0,0.0722,0,-0.2573,0.3982
