id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
82576,6445,2010,31,0,201,2,1,0,32,9,2,37,133,24,3,1,0,0,7,2,2,0,3,0,1,1,1,0,0,-0.134,0,0.3878,0.1468
82668,6446,2010,29,0,201,2,1,0,351,87,50,392,1509,90,85,7,1,3,35,24,13,5,36,0,11,2,3,0,0,-0.8751,0,-0.1065,0.8411
82737,6452,2010,99,0,201,2,1,0,187,53,29,204,695,52,44,6,1,3,22,20,2,2,16,1,1,0,1,0,0,0.2434,0,0.5333,0.5607
82995,6456,2010,32,0,201,2,1,0,13,0,2,13,42,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.3301,0,0.0,-0.2364
83063,6458,2010,30,0,201,2,1,0,2,1,0,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0214,0,0.0,-0.0465
83908,6472,2010,95,0,201,2,1,0,68,33,7,77,272,17,17,4,0,1,13,11,0,0,9,0,2,0,0,0,0,0.4473,0,-0.7724,1.2119
84282,6480,2010,24,0,201,2,1,0,35,8,7,40,161,21,8,0,0,1,6,1,2,0,4,0,0,1,0,0,0,-0.36,0,0.9257,0.0936
84826,6497,2010,29,0,201,2,1,0,17,3,3,21,76,11,4,0,0,0,2,0,0,0,4,1,2,0,0,0,0,-0.2385,0,-0.8698,-0.1367
84829,6497,2010,20,0,201,2,1,0,106,28,16,119,430,37,29,3,1,1,13,14,1,2,12,0,2,0,1,0,0,-0.4687,1,2.0568,0.1169
85027,6502,2010,95,0,201,2,1,0,9,1,4,10,34,11,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,-0.2508,0,-0.7356,-0.2228
85159,6504,2010,27,0,201,2,1,0,34,11,8,37,128,21,8,0,1,1,4,5,0,0,3,0,0,0,0,0,0,0.2468,0,0.6842,0.4962
85376,6515,2010,31,0,201,2,1,0,78,14,12,91,331,60,9,0,0,0,6,6,4,1,10,1,3,1,1,1,0,-1.055,0,-0.5238,-0.3722
86259,6542,2010,30,0,201,2,1,0,81,24,10,99,413,64,12,3,0,5,11,14,0,1,17,0,2,0,0,1,0,0.4336,0,-0.8254,1.0962
87589,6564,2010,30,0,201,2,1,0,6,1,0,7,36,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0406,0,0.3938,0.0447
88608,6611,2010,29,0,201,2,1,0,56,12,9,66,261,19,18,1,1,1,4,10,0,0,9,0,0,0,1,0,0,-0.098,0,0.9372,0.2017
88861,6619,2010,27,0,201,2,1,0,506,129,86,570,2192,134,132,27,1,18,62,80,0,0,59,1,16,0,1,4,0,0.4393,0,-3.181,1.0657
89028,6622,2010,95,0,201,2,1,0,98,27,17,109,383,53,22,7,1,3,11,16,1,1,9,0,2,0,1,1,0,-0.5328,0,1.5272,0.9361
89067,6623,2010,30,0,201,2,1,0,35,3,12,40,170,76,5,0,0,1,4,3,1,0,5,0,1,0,0,0,0,-0.3509,0,-0.5737,-0.0653
89326,6626,2010,99,0,201,2,1,0,151,35,22,177,644,56,37,7,0,0,16,14,1,0,20,2,5,3,2,1,0,-0.413,0,-2.424,0.1568
89929,6652,2010,26,0,201,2,1,0,329,111,38,357,1178,84,78,22,5,2,51,40,24,3,24,1,6,1,2,1,0,0.647,0,0.1549,2.9131
90794,6671,2010,29,0,201,2,1,0,60,10,12,67,254,19,16,2,0,0,3,4,0,1,5,0,1,0,0,2,0,-0.8026,0,0.5954,-0.4194
91524,6697,2010,20,0,201,2,1,0,235,53,45,261,987,77,57,8,2,4,26,27,4,3,24,0,10,0,0,2,0,-0.1932,0,-0.1598,-0.11
92049,6714,2010,32,0,201,2,1,0,24,7,7,27,107,6,6,1,0,1,3,6,0,0,1,0,0,0,2,0,0,0.0607,0,-0.3158,0.0661
92166,6715,2010,27,0,201,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
92215,6716,2010,32,0,201,2,1,0,304,79,64,346,1274,97,91,13,0,4,34,34,3,0,30,0,7,6,5,0,1,-1.8201,0,-4.2197,1.1826
92601,6728,2010,22,0,201,2,1,0,136,37,26,152,602,43,31,2,1,2,22,11,7,3,10,0,1,0,2,4,0,-0.4031,0,0.0873,1.1361
93350,6744,2010,23,0,201,2,1,0,19,4,1,24,78,6,6,0,1,0,1,2,1,0,5,0,0,0,0,0,0,-0.1691,0,0.0,0.2946
93513,6748,2010,32,0,201,2,1,0,154,21,33,171,737,53,47,2,0,2,10,13,2,0,13,0,6,3,1,0,0,-1.946,0,-0.7523,-1.1506
94447,6766,2010,28,0,201,2,1,0,332,80,59,377,1438,101,86,13,1,8,42,38,0,3,36,1,5,0,7,2,0,-1.8222,0,2.2757,0.1922
94989,6773,2010,28,0,201,2,1,0,34,10,8,43,152,24,7,0,1,2,6,7,0,0,7,1,2,0,0,2,0,-0.0554,0,-0.3834,0.4661
95092,6774,2010,30,0,201,2,1,0,58,14,3,62,252,26,17,0,0,0,6,1,1,0,3,0,5,1,0,0,0,-0.7036,0,0.332,-0.0344
95176,6776,2010,19,0,201,2,1,0,376,92,55,413,1504,98,95,20,2,4,35,39,9,8,32,1,5,1,2,1,1,0.0606,0,1.7871,1.1964
95935,6792,2010,20,0,201,2,1,0,64,16,8,75,279,21,19,2,2,0,7,6,1,3,7,1,2,3,1,0,0,-0.3407,0,-1.3753,-0.2468
96077,6794,2010,19,0,201,2,1,0,416,131,58,467,1710,117,99,18,1,8,59,47,6,2,49,2,23,1,0,1,0,0.371,0,-3.9712,3.8697
96546,6802,2010,95,0,201,2,1,0,189,66,21,204,674,52,46,19,1,6,30,41,1,0,13,0,5,0,1,1,0,1.3337,0,-1.1764,1.7328
97509,6814,2010,25,0,201,2,1,0,517,149,43,553,1690,140,127,17,1,7,46,50,12,11,29,8,15,0,3,4,0,-0.8218,0,2.9106,1.0429
