id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
38729,5073,2002,42,0,202,3,1,0,426,103,99,546,2387,127,127,24,1,14,59,56,0,1,108,1,17,0,5,7,0,2.3772,0,-1.6529,3.6761
38767,5075,2002,38,0,202,3,1,0,63,14,15,72,237,17,17,2,0,2,3,4,0,0,6,0,1,0,0,3,0,-0.1701,0,-0.1223,0.0198
39072,5095,2002,37,0,202,3,1,0,88,20,26,97,367,33,23,3,0,1,7,8,1,0,9,0,2,0,0,0,0,-0.6636,0,-3.6676,-0.7216
39189,5103,2002,33,0,202,3,1,0,430,91,103,492,1754,123,121,23,3,9,44,50,5,3,47,0,9,2,5,8,0,-1.7318,0,-3.5755,0.4792
39232,5111,2002,36,0,202,3,1,0,307,70,91,338,1215,81,78,15,1,8,30,25,0,0,25,0,10,0,0,6,0,-1.8639,0,-3.4528,0.3154
39376,5117,2002,47,0,202,3,1,0,74,13,18,92,345,22,22,6,0,1,12,10,0,0,14,0,0,0,1,3,0,0.17,0,0.5921,0.5307
39412,5118,2002,38,0,202,3,1,0,228,30,78,267,1030,93,73,3,0,6,26,23,1,3,35,0,4,0,2,2,0,-2.039,0,0.3087,-0.216
39472,5121,2002,42,0,202,3,1,0,201,47,45,238,942,64,52,4,0,11,33,23,3,5,34,0,3,1,0,2,0,1.1992,0,-0.4005,0.804
39599,5127,2002,34,0,202,3,1,0,12,2,2,14,41,4,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.3559,0,0.0,-0.108
39827,5131,2002,39,0,202,3,1,0,441,102,100,507,1831,122,114,23,4,21,64,59,15,6,59,1,2,0,3,4,0,0.8146,0,1.3672,2.5098
40210,5136,2002,42,0,202,3,1,0,23,1,8,27,97,12,7,0,0,0,1,0,0,0,1,0,1,2,0,1,0,-0.5964,0,0.4288,-0.3069
40569,5139,2002,43,0,202,3,1,0,261,55,54,307,1155,67,64,8,3,4,39,31,12,5,39,0,0,0,1,6,0,0.1551,0,2.8821,1.2714
40586,5140,2002,33,0,202,3,1,0,158,37,48,175,654,75,49,8,3,4,19,12,5,1,12,0,1,3,1,1,0,-0.2186,0,1.9673,0.2359
40840,5165,2002,35,0,202,3,1,0,1,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434,0,0.0,0.0078
41004,5172,2002,45,0,202,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
41028,5181,2002,48,0,202,3,1,0,49,12,12,59,213,42,5,2,0,0,4,7,0,0,6,0,2,2,1,1,0,0.5874,0,-0.4455,0.0065
41072,5184,2002,48,0,202,3,1,0,506,104,158,624,2597,139,139,21,2,14,58,58,7,10,93,1,11,0,3,21,1,-1.3085,0,-1.1575,0.5986
