POS,Name,ORG,B,T,G,GS,PPG,IP,ERA,HR/9,BB/9,K/9,FIP,WAR
SP,SHIGEM FUJITA,DUB,L,R,17,17,92,103.2,3.30,0.8,3.0,5.6,4.31,1.1
SP,Jeremy Socha,TOK,R,R,45,17,46,130.1,4.01,0.7,3.2,7.2,3.93,1.6
SP,PETE DRAPCHO,CUR,L,R,34,16,53,115.1,4.84,0.2,3.4,5.4,3.40,2.5
SP,Cooper England,HAV,L,R,16,16,77,77.0,6.19,0.7,3.9,4.4,4.60,0.6
SP,SAMUEL JENKINS,LON,R,R,16,16,100,104.1,3.36,0.4,2.9,6.0,3.71,1.8
SP,Justin Kondapaneni,LON,L,R,21,16,76,98.0,6.52,0.8,3.3,6.2,4.30,0.8
SP,Rodolfo Mendez,HON,L,R,16,16,97,101.1,3.91,0.9,2.3,6.0,4.20,1.2
SP,RANDALL BLEVINS,STU,S,R,23,14,62,95.2,3.48,0.5,2.9,4.4,4.04,1.2
SP,RAFAEL RIVERA,CAL,S,R,18,14,84,96.0,5.81,1.0,2.4,6.2,4.36,1.0
RP,Ernesto Cajamarca,CAL,L,L,41,13,30,81.2,5.07,0.7,2.4,5.2,3.87,1.1
SP,Raul Fresquez,DUB,L,L,13,13,85,69.2,5.56,0.5,1.2,4.1,3.62,1.3
SP,Brassal Rampling,RME,L,L,13,13,94,78.2,4.00,0.6,2.1,5.0,3.85,1.5
SP,David Harby,HON,R,R,12,12,72,58.2,1.99,0.9,2.3,7.8,3.76,1.0
SP,ADAM KAUFMAN,DUB,R,R,12,12,90,65.1,6.06,0.7,3.2,6.8,3.86,1.0
SP,JOHN DONDALE,ADE,L,L,33,11,55,117.2,4.67,0.9,3.2,5.9,4.54,0.6
SP,Josh Harrington,NKO,R,R,19,11,57,67.1,3.48,0.5,3.3,4.9,4.21,0.6
RP,Brian Meeks,DEN,R,R,31,11,49,94.1,4.39,0.7,3.0,5.9,4.01,1.2
SP,Glen Morrall,DEN,S,R,15,11,73,66.2,5.67,1.1,3.2,4.9,4.92,0.5
SP,Luis Garcia,LAP,S,R,10,10,91,62.2,3.02,0.6,2.2,5.6,3.68,1.1
SP,JUAN MARTINEZ,LAP,R,R,10,10,88,61.2,4.23,0.9,2.2,4.2,4.48,0.5
SP,JIMMY CHRISTIANO,DUB,S,L,9,8,71,42.2,4.64,0.8,1.9,5.1,4.13,0.5
SP,Andy Piercey,LDN,L,L,8,8,58,27.1,7.24,2.0,4.3,4.0,6.92,-0.5
SP,AARON RANKIN,CUR,L,R,51,7,35,113.1,5.40,1.5,1.9,5.3,4.93,-0.1
RP,Trevor Grimes,DEN,R,R,42,6,34,93.0,4.94,1.5,2.4,4.8,5.07,0.1
SP,Mike Golunski,TOR,R,R,12,5,48,36.2,6.63,1.2,3.2,4.7,5.09,-0.3
RP,ERIC HUBBARD,SMT,L,R,40,5,25,69.0,4.30,1.0,1.6,4.8,4.28,0.5
SP,Min-jun Lee,DUB,R,L,11,5,59,41.0,5.93,0.7,2.4,5.9,3.77,0.6
