POS,Name,ORG,B,T,G,GS,PPG,IP,ERA,HR/9,BB/9,K/9,FIP,WAR
RP,RHYS GAULT,RME,R,R,52,0,16,55.1,3.25,0.7,2.8,8.8,3.39,0.9
RP,EDWIN GOMEZ,STU,L,L,74,0,22,106.2,2.11,0.7,2.4,9.7,3.07,2.3
RP,KEEHAN GRIFFIN,NKO,R,R,27,0,30,47.2,3.97,1.1,2.8,6.4,4.40,-0.1
RP,JAY GRUBBS,DEN,R,R,61,0,20,82.1,4.81,1.3,1.9,6.4,4.38,0.1
RP,Burton Guster,HON,R,R,43,0,21,60.2,2.97,0.9,1.5,5.0,4.16,0.2
RP,Larry Haake,GAL,S,R,86,0,31,162.0,4.06,0.7,5.8,8.3,4.41,0.0
RP,ANDREW HAZEL,LDN,R,R,43,0,21,60.0,3.90,0.9,4.3,8.4,4.34,-0.0
RP,Shawn Herron,DEN,R,R,33,0,28,59.1,4.10,0.3,4.4,5.2,3.81,0.8
RP,LOUIS HODGSON,LAP,R,R,39,0,22,57.2,3.59,0.9,2.7,6.2,4.17,0.1
RP,JAMEL HOLAS,STU,R,R,39,0,22,53.0,3.74,0.7,2.9,8.8,3.44,0.6
RP,Kuniyoshi Horii,VAN,R,R,64,0,20,92.0,2.45,0.7,2.5,6.4,3.80,0.7
RP,WILTON HUNTINGFORD,HON,R,R,67,0,19,96.0,1.97,0.2,2.3,5.8,3.17,1.9
RP,CHARLIE HURST,CUR,R,R,7,0,24,10.0,9.00,1.8,6.3,6.3,6.71,-0.2
RP,Jun-hyuk Im,ADE,R,L,36,0,29,67.1,2.67,0.4,1.6,7.5,2.83,1.4
CL,Young-jae Im,SMT,R,R,64,0,15,64.1,2.10,0.7,2.5,8.1,3.45,1.3
RP,Hong-chang Jung,GAL,R,R,49,0,13,44.0,3.27,1.2,3.1,6.8,4.43,-0.0
RP,Hae-min Kang,GAL,S,R,34,0,19,42.1,5.74,1.7,1.9,6.4,5.08,-0.3
SP,Hyeon-sang Kim,CAL,L,R,9,0,14,11.0,2.45,1.6,1.6,1.6,5.95,-0.2
RP,Jin-hoe Kim,TOK,L,L,47,0,24,76.1,3.77,0.9,2.8,5.9,4.41,-0.0
RP,KYUNG-BAE KIM,TOK,L,L,47,0,27,76.1,4.36,1.2,3.7,6.5,4.86,-0.5
RP,KIMIAKI KINOSHITA,TOK,L,L,14,0,18,17.0,5.29,1.1,1.6,2.6,4.85,-0.1
CL,Jason Knutson,LAP,R,R,66,0,16,76.0,3.08,0.8,1.5,7.2,3.32,1.4
RP,BENJAMIN KOK,HAV,S,L,45,0,25,69.2,5.43,1.0,3.9,6.5,4.71,-0.3
RP,Ryan Lakes,TOR,R,R,71,0,24,111.2,3.47,0.5,2.9,5.4,3.84,0.3
RP,Brad Lane,VAN,R,R,31,0,31,61.1,5.14,0.7,3.5,8.4,3.90,0.3
RP,Tom Lawrence,TOR,R,R,90,0,21,128.0,3.23,0.5,2.7,8.4,3.21,1.5
