IP,HR,BB,K,HR/9,BB/9,K/9,FIP,WAR,SIERA
125.0,12,38,92,0.9,2.7,6.6,4.08,1.5,4.24
123.1,18,39,80,1.3,2.8,5.8,4.95,-0.1,4.62
123.0,3,35,89,0.2,2.6,6.5,3.28,2.6,4.23
122.2,13,26,74,1.0,1.9,5.4,4.20,1.8,4.52
122.1,7,30,68,0.5,2.2,5.0,3.87,2.3,4.75
121.2,6,27,84,0.4,2.0,6.2,3.43,2.5,4.15
121.2,9,50,75,0.7,3.7,5.5,4.46,1.0,4.96
121.0,10,26,94,0.7,1.9,7.0,3.67,0.9,3.96
114.1,19,33,79,1.5,2.6,6.2,5.18,-0.4,4.39
113.2,6,37,75,0.5,2.9,5.9,3.81,1.8,4.61
112.1,12,40,71,1.0,3.2,5.7,4.67,0.3,4.83
112.0,9,30,79,0.7,2.4,6.3,3.83,2.4,4.30
109.1,14,45,72,1.2,3.7,5.9,5.09,-0.5,4.86
109.1,12,33,106,1.0,2.7,8.7,3.71,1.3,3.49
109.0,9,47,73,0.7,3.9,6.0,4.55,0.3,4.84
109.0,13,32,86,1.1,2.6,7.1,4.33,1.2,4.01
108.2,9,44,81,0.7,3.6,6.7,4.33,-0.0,4.64
104.2,7,28,55,0.6,2.4,4.7,4.04,1.1,4.88
101.0,8,33,59,0.7,2.9,5.3,4.32,0.9,4.82
98.1,9,37,65,0.8,3.4,5.9,4.41,-0.0,4.71
95.2,15,38,67,1.4,3.6,6.3,5.15,-0.6,4.70
94.2,8,18,57,0.8,1.7,5.4,3.69,1.3,4.42
93.2,6,22,46,0.6,2.1,4.4,4.00,1.3,4.97
93.1,6,41,47,0.6,4.0,4.5,4.60,0.8,5.39
90.2,3,16,66,0.3,1.6,6.6,2.82,2.7,3.75
90.0,5,17,75,0.5,1.7,7.5,3.00,2.5,3.61
90.0,8,23,59,0.8,2.3,5.9,3.99,0.9,4.38
89.1,5,28,56,0.5,2.8,5.6,3.83,0.5,4.66
88.2,7,17,54,0.7,1.7,5.5,3.86,1.2,4.29
87.2,7,21,47,0.7,2.2,4.8,4.20,0.2,4.80
87.0,9,22,52,0.9,2.3,5.4,4.36,0.2,4.53
86.2,8,30,48,0.8,3.1,5.0,4.48,0.3,5.04
86.2,4,17,90,0.4,1.8,9.3,2.53,2.4,2.54
86.1,4,15,64,0.4,1.6,6.7,3.15,2.2,3.87
86.0,9,36,40,0.9,3.8,4.2,5.23,-1.0,5.48
84.2,15,30,57,1.6,3.2,6.1,5.47,-1.2,4.74
84.1,8,25,58,0.9,2.7,6.2,4.23,1.2,4.41
84.1,12,15,47,1.3,1.6,5.0,4.82,-0.5,4.52
83.2,14,23,48,1.5,2.5,5.2,5.20,-0.8,4.78
82.1,9,23,57,1.0,2.5,6.2,4.28,0.6,4.40
82.1,10,33,38,1.1,3.6,4.2,5.17,-0.4,5.58
80.1,18,32,30,2.0,3.6,3.4,6.78,-1.8,5.75
80.0,8,21,70,0.9,2.4,7.9,3.85,0.7,3.57
80.0,6,16,71,0.7,1.8,8.0,3.24,1.4,3.54
79.2,14,18,54,1.6,2.0,6.1,5.16,-0.4,4.21
78.2,6,31,40,0.7,3.5,4.6,4.38,0.5,5.36
78.2,9,35,49,1.0,4.0,5.6,5.09,0.3,5.07
77.0,9,20,56,1.1,2.3,6.5,4.32,0.2,4.08
77.0,9,17,45,1.1,2.0,5.3,4.49,-0.1,4.52
77.0,5,13,37,0.6,1.5,4.3,3.91,0.5,4.74
76.2,8,27,43,0.9,3.2,5.0,4.67,0.4,5.05
76.1,7,27,43,0.8,3.2,5.1,4.58,-0.2,5.01
75.0,2,30,68,0.2,3.6,8.2,3.13,1.6,4.07
75.0,13,11,51,1.6,1.3,6.1,4.71,0.3,4.08
75.0,4,18,47,0.5,2.2,5.6,3.46,1.2,4.37
74.0,9,15,58,1.1,1.8,7.1,4.14,0.2,3.80
74.0,8,18,63,1.0,2.2,7.7,3.89,1.0,3.71
74.0,5,27,69,0.6,3.3,8.4,3.55,1.0,3.83
73.1,6,27,58,0.7,3.3,7.1,3.96,0.7,4.39
73.1,13,25,40,1.6,3.1,4.9,5.69,-1.3,5.09
73.0,5,19,43,0.6,2.3,5.3,3.97,0.3,4.66
72.2,8,18,45,1.0,2.2,5.6,4.29,0.4,4.54
72.1,4,28,49,0.5,3.5,6.1,3.69,1.0,4.74
72.1,8,21,48,1.0,2.6,6.0,4.11,0.3,4.45
72.0,5,17,45,0.6,2.1,5.6,3.61,1.1,4.37
72.0,11,22,48,1.4,2.8,6.0,5.13,-0.1,4.51
72.0,3,21,47,0.4,2.6,5.9,3.59,0.7,4.47
71.2,5,24,44,0.6,3.0,5.5,4.10,1.1,4.76
