STU P,IP,K,K/9,K%
50,59.0,31,4.7,11.4
50,127.2,67,4.7,11.6
65,55.2,29,4.7,12.8
40,209.1,108,4.6,12.9
40,181.0,93,4.6,11.7
40,150.1,77,4.6,12.0
50,209.1,107,4.6,11.8
50,78.2,40,4.6,11.5
50,63.0,32,4.6,11.8
45,71.0,36,4.6,12.3
45,93.1,47,4.5,11.8
45,142.1,71,4.5,11.6
50,93.2,46,4.4,11.1
40,212.0,104,4.4,11.7
75,51.0,25,4.4,11.9
45,171.1,83,4.4,11.5
45,77.0,37,4.3,11.8
40,86.0,40,4.2,10.2
55,82.1,38,4.2,9.9
45,64.0,29,4.1,11.0
40,52.1,23,4.0,10.6
50,55.2,24,3.9,9.5
40,200.0,84,3.8,10.1
40,61.2,24,3.5,9.5
55,80.1,30,3.4,8.3
