STU P,IP,K,K/9,K%
55,95.1,48,4.5,11.9
45,87.2,44,4.5,11.1
55,70.0,35,4.5,10.5
50,149.1,74,4.5,11.7
50,56.1,27,4.3,10.9
45,74.2,35,4.2,10.8
60,105.0,49,4.2,10.9
45,77.1,36,4.2,10.1
50,62.2,29,4.2,11.0
40,197.2,91,4.1,11.1
40,139.0,61,3.9,10.0
50,50.1,20,3.6,10.0
45,80.2,32,3.6,8.6
50,61.0,24,3.5,9.3
55,92.0,36,3.5,10.1
75,68.1,24,3.2,7.6
40,185.0,50,2.4,6.3
